Serial,Event,&quot;Governorate&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
7099,ACCIDENT,Marib,25/03/2023,0,0,0
7098,ACCIDENT,Marib,24/03/2023,0,0,0
7097,ACCIDENT,Taizz,25/03/2023,0,0,0
7096,ACCIDENT,Taizz,25/03/2023,0,0,0
7095,EPIDEMIC,Shabwah,23/03/2023,0,0,0
7091,EPIDEMIC,Shabwah,21/03/2023,0,0,0
7090,EPIDEMIC,Shabwah,21/03/2023,0,0,0
7089,EPIDEMIC,Taizz,19/03/2023,0,67,0
7088,EPIDEMIC,Taizz,19/03/2023,0,32,0
7083,ACCIDENT,Aden,27/02/2023,0,0,0
7082,ACCIDENT,Hadramaut,20/02/2023,0,0,0
7081,ACCIDENT,Hadramaut,19/02/2023,0,0,0
7080,ACCIDENT,Hadramaut,19/02/2023,0,0,0
7079,ACCIDENT,Hadramaut,18/02/2023,0,0,0
7078,ACCIDENT,Hadramaut,17/02/2023,0,0,0
7077,ACCIDENT,Marib,20/02/2023,0,0,0
7076,ACCIDENT,Marib,18/02/2023,0,0,0
7075,ACCIDENT,Marib,18/02/2023,0,0,0
7074,ACCIDENT,Shabwah,19/02/2023,0,0,0
7073,ACCIDENT,Shabwah,19/02/2023,0,0,0
7072,ACCIDENT,Shabwah,18/02/2023,0,0,0
7071,ACCIDENT,Al Dhale'e,18/02/2023,0,0,0
7070,ACCIDENT,Al Dhale'e,18/02/2023,0,0,0
7070,ACCIDENT,Al Dhale'e,18/02/2023,0,0,0
7068,ACCIDENT,Taizz,18/02/2023,0,0,0
7067,ACCIDENT,Taizz,18/02/2023,0,0,0
7066,ACCIDENT,Taizz,18/02/2023,0,0,0
7065,ACCIDENT,Taizz,17/02/2023,0,0,0
7064,ACCIDENT,Taizz,17/02/2023,0,0,0
7063,ACCIDENT,Taizz,16/02/2023,0,0,0
7062,ACCIDENT,Taizz,16/02/2023,0,0,0
7061,ACCIDENT,Taizz,16/02/2023,0,0,0
7060,ACCIDENT,Aden,17/02/2023,0,0,0
7059,ACCIDENT,Aden,17/02/2023,0,0,0
7058,ACCIDENT,Lahj,17/01/2023,0,0,0
7057,ACCIDENT,Lahj,28/01/2023,0,0,0
7056,ACCIDENT,Lahj,19/01/2023,0,0,0
7055,ACCIDENT,Lahj,18/01/2023,0,0,0
7054,ACCIDENT,Lahj,16/01/2023,0,0,0
7053,ACCIDENT,Lahj,13/01/2023,0,0,0
7051,gunshot,Taizz,11/02/2023,0,0,0
7050,war,Taizz,06/02/2023,0,0,0
7049,armed conflict,Taizz,08/02/2023,0,0,0
7048,ACCIDENT,Taizz,11/02/2023,0,0,0
7047,ACCIDENT,Taizz,09/02/2023,0,0,0
7046,ACCIDENT,Taizz,08/02/2023,0,0,0
7045,ACCIDENT,Taizz,07/02/2023,0,0,0
7044,ACCIDENT,Taizz,07/02/2023,0,0,0
7043,ACCIDENT,Taizz,05/02/2023,0,0,0
7042,ACCIDENT,Taizz,11/02/2023,0,0,0
7041,ACCIDENT,Taizz,06/02/2023,0,0,0
7040,ACCIDENT,Taizz,05/02/2023,0,0,0
7039,FLOOD,Taizz,08/02/2023,0,0,0
7038,ACCIDENT,Taizz,02/02/2023,0,0,0
7037,ACCIDENT,Aden,11/02/2023,0,0,0
7036,ACCIDENT,Aden,11/02/2023,0,0,0
7035,ACCIDENT,Aden,09/02/2023,0,0,0
7034,ACCIDENT,Aden,08/02/2023,0,0,0
7033,ACCIDENT,Aden,07/02/2023,0,0,0
7032,ACCIDENT,Aden,05/02/2023,0,0,0
7031,ACCIDENT,Aden,04/02/2023,0,0,0
7030,ACCIDENT,Aden,03/02/2023,0,0,0
7029,FLOOD,Abyan,09/02/2023,0,0,0
7028,ACCIDENT,Abyan,06/02/2023,0,0,0
7027,ACCIDENT,Abyan,10/02/2023,0,0,0
7026,ACCIDENT,Abyan,05/02/2023,0,0,0
7025,ACCIDENT,Aden,03/02/2023,0,0,0
7024,ACCIDENT,Aden,01/02/2023,0,0,0
7022,gunshot,Taizz,31/01/2023,0,0,0
7021,ACCIDENT,Taizz,31/01/2023,0,0,0
7020,FLOOD,Taizz,31/01/2023,0,0,0
7019,ACCIDENT,Taizz,31/01/2023,0,0,0
7018,gunshot,Taizz,30/01/2023,0,0,0
7017,ACCIDENT,Abyan,31/01/2023,0,0,0
7016,ACCIDENT,Al Hudaydah,23/01/2023,0,0,0
7015,ACCIDENT,Al Hudaydah,22/01/2023,0,0,0
7014,ACCIDENT,Socotra,23/01/2023,0,0,0
7013,ACCIDENT,Socotra,23/01/2023,0,0,0
7012,ACCIDENT,Socotra,22/01/2023,0,0,0
7011,ACCIDENT,Hadramaut,23/01/2023,0,0,0
7010,ACCIDENT,Hadramaut,23/01/2023,0,0,0
7009,ACCIDENT,Marib,23/01/2023,0,0,0
7008,ACCIDENT,Marib,23/01/2023,0,0,0
7007,ACCIDENT,Shabwah,23/01/2023,0,0,0
7006,ACCIDENT,Abyan,23/01/2023,0,0,0
7006,ACCIDENT,Abyan,23/01/2023,0,0,0
7005,ACCIDENT,Al Dhale'e,23/01/2023,0,0,0
7004,ACCIDENT,Al Dhale'e,23/01/2023,0,0,0
7003,ACCIDENT,Al Dhale'e,22/01/2023,0,0,0
7002,ACCIDENT,Taizz,23/01/2023,0,0,0
7001,ACCIDENT,Taizz,23/01/2023,0,0,0
7000,ACCIDENT,Taizz,22/01/2023,0,0,0
6999,EXPLOSION,Abyan,23/01/2023,0,0,0
6998,ACCIDENT,Aden,23/01/2023,0,0,0
6997,gunshot,Aden,22/01/2023,0,0,0
6996,ACCIDENT,Al Dhale'e,22/01/2023,0,0,0
6995,ACCIDENT,Al Dhale'e,21/01/2023,0,0,0
6994,ACCIDENT,Al Dhale'e,20/01/2023,0,0,0
6992,ACCIDENT,Abyan,22/01/2023,0,0,0
6991,ACCIDENT,Abyan,22/01/2023,0,0,0
6990,ACCIDENT,Lahj,22/01/2023,0,0,0
6989,ACCIDENT,Lahj,22/01/2023,0,0,0
6988,ACCIDENT,Lahj,21/01/2023,0,0,0
6987,ACCIDENT,Lahj,20/01/2023,0,0,0
6986,ACCIDENT,Taizz,22/01/2023,4,0,0
6985,ACCIDENT,Taizz,21/01/2023,0,0,0
6984,ACCIDENT,Taizz,20/01/2023,0,0,0
6983,ACCIDENT,Taizz,20/01/2023,0,0,0
6982,ACCIDENT,Aden,22/01/2023,0,0,0
6981,ACCIDENT,Aden,22/01/2023,0,0,0
6980,ACCIDENT,Aden,20/01/2023,0,0,0
6979,ACCIDENT,Abyan,20/01/2023,0,0,0
6978,ACCIDENT,Taizz,16/01/2023,0,0,0
6977,ACCIDENT,Taizz,16/01/2023,0,0,0
6976,ACCIDENT,Taizz,15/01/2023,0,0,0
6975,FLOOD,Taizz,14/01/2023,0,0,0
6974,ACCIDENT,Taizz,13/01/2023,0,0,0
6972,ACCIDENT,Aden,16/01/2023,0,0,0
6971,ACCIDENT,Aden,15/01/2023,0,0,0
6970,ACCIDENT,Aden,13/01/2023,0,0,0
6969,ACCIDENT,Aden,14/01/2023,0,0,0
6968,ACCIDENT,Al Hudaydah,14/01/2023,0,0,0
6967,ACCIDENT,Al Hudaydah,14/01/2023,0,0,0
6966,ACCIDENT,Al Hudaydah,13/01/2023,0,0,0
6964,ACCIDENT,Al Hudaydah,12/01/2023,0,0,0
6963,ACCIDENT,Socotra,14/01/2023,0,0,0
6962,ACCIDENT,Socotra,14/01/2023,0,0,0
6961,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6960,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6959,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6954,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6956,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6956,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6956,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6955,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6954,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6954,ACCIDENT,Al Maharah,14/01/2023,0,0,0
6951,ACCIDENT,Hadramaut,14/01/2023,0,0,0
6950,ACCIDENT,Hadramaut,14/01/2023,0,0,0
6949,ACCIDENT,Hadramaut,13/01/2023,0,0,0
6948,ACCIDENT,Hadramaut,11/01/2023,0,0,0
6947,ACCIDENT,Marib,15/01/2023,0,0,0
6946,ACCIDENT,Marib,14/01/2023,0,0,0
6945,ACCIDENT,Marib,13/01/2023,0,0,0
6944,ACCIDENT,Marib,13/01/2023,0,0,0
6944,ACCIDENT,Marib,13/01/2023,0,0,0
6943,ACCIDENT,Marib,12/01/2023,0,0,0
6942,ACCIDENT,Marib,12/01/2023,0,0,0
6941,ACCIDENT,Shabwah,15/01/2023,0,0,0
6940,ACCIDENT,Shabwah,13/01/2023,0,0,0
6939,ACCIDENT,Shabwah,13/01/2023,0,0,0
6938,ACCIDENT,Shabwah,12/01/2023,0,0,0
6936,ACCIDENT,Abyan,10/01/2023,0,0,0
6932,EXPLOSION,Abyan,06/01/2023,0,0,0
6931,ACCIDENT,Aden,04/01/2023,0,0,0
6931,ACCIDENT,Aden,04/01/2023,0,0,0
6930,ACCIDENT,Al Hudaydah,04/01/2023,0,0,0
6929,ACCIDENT,Al Hudaydah,02/01/2023,0,0,0
6928,ACCIDENT,Socotra,03/01/2023,0,0,0
6927,ACCIDENT,Socotra,02/01/2023,0,0,0
6927,ACCIDENT,Socotra,02/01/2023,0,0,0
6927,ACCIDENT,Socotra,02/01/2023,0,0,0
6927,ACCIDENT,Socotra,02/01/2023,0,0,0
6926,ACCIDENT,Al Maharah,04/01/2023,0,0,0
6925,ACCIDENT,Al Maharah,03/01/2023,0,0,0
6924,ACCIDENT,Al Maharah,02/01/2023,0,0,0
6924,ACCIDENT,Al Maharah,02/01/2023,0,0,0
6923,ACCIDENT,Al Maharah,01/01/2023,0,0,0
6922,ACCIDENT,Al Maharah,01/01/2023,0,0,0
6922,ACCIDENT,Al Maharah,01/01/2023,0,0,0
6921,FLOOD,Hadramaut,03/01/2023,0,0,0
6920,ACCIDENT,Hadramaut,03/01/2023,3,0,0
6919,ACCIDENT,Hadramaut,02/01/2023,0,0,0
6918,ACCIDENT,Hadramaut,01/01/2023,0,0,0
6918,ACCIDENT,Hadramaut,01/01/2023,0,0,0
6918,ACCIDENT,Hadramaut,01/01/2023,0,0,0
6917,ACCIDENT,Hadramaut,03/01/2023,0,0,0
6917,ACCIDENT,Hadramaut,03/01/2023,0,0,0
6916,ACCIDENT,Hadramaut,02/01/2023,0,0,0
6915,ACCIDENT,Hadramaut,02/01/2023,0,0,0
6915,ACCIDENT,Hadramaut,02/01/2023,0,0,0
6914,ACCIDENT,Marib,02/01/2023,0,0,0
6913,ACCIDENT,Marib,01/01/2023,0,0,0
6912,ACCIDENT,Shabwah,02/01/2023,0,0,0
6912,ACCIDENT,Shabwah,02/01/2023,0,0,0
6911,ACCIDENT,Shabwah,01/01/2023,0,0,0
6911,ACCIDENT,Shabwah,01/01/2023,0,0,0
6910,ACCIDENT,Shabwah,02/01/2023,0,0,0
6908,ACCIDENT,Abyan,01/01/2023,0,0,0
6908,ACCIDENT,Abyan,01/01/2023,0,0,0
6907,ACCIDENT,Abyan,01/01/2023,0,0,0
6906,ACCIDENT,Abyan,01/01/2023,0,0,0
6905,ACCIDENT,Taizz,01/01/2023,0,0,0
