Country,DesInventar,EM_DAT,OCHA,Default Data Source (CPP),Default Data Source (Total Damage)
Afghanistan,N,Y,Y,EM_DAT,EM_DAT
Algeria,N,Y,Y,EM_DAT,EM_DAT
Angola,N,Y,Y,EM_DAT,EM_DAT
Azerbaijan,N,Y,Y,EM_DAT,EM_DAT
Bangladesh,N,Y,Y,EM_DAT,EM_DAT
Bosnia and Herzegovina,N,Y,Y,EM_DAT,EM_DAT
Bulgaria,N,Y,Y,EM_DAT,EM_DAT
Costa Rica,Y,Y,Y,EM_DAT,EM_DAT
Djibouti,Y,Y,Y,EM_DAT,EM_DAT
Dominican Republic,N,Y,Y,EM_DAT,EM_DAT
El Salvador,Y,Y,Y,EM_DAT,EM_DAT
Ethiopia,Y,Y,Y,EM_DAT,EM_DAT
Guatemala,Y,Y,Y,EM_DAT,EM_DAT
Haiti,N,Y,Y,EM_DAT,EM_DAT
Honduras,Y,Y,Y,EM_DAT,EM_DAT
India,N,Y,Y,EM_DAT,EM_DAT
Indonesia,Y,Y,Y,EM_DAT,EM_DAT
Iran (Islamic Republic Of),Y,Y,Y,EM_DAT,EM_DAT
Jamaica,Y,Y,Y,EM_DAT,EM_DAT
Kenya,Y,Y,Y,EM_DAT,EM_DAT
Kyrgyzstan,N,Y,Y,EM_DAT,EM_DAT
Laos,Y,Y,N,EM_DAT,EM_DAT
Madagascar,Y,Y,Y,EM_DAT,EM_DAT
Mexico,Y,Y,Y,EM_DAT,EM_DAT
Morocco,Y,Y,Y,EM_DAT,EM_DAT
Mozambique,Y,Y,Y,EM_DAT,EM_DAT
Myanmar,N,Y,Y,EM_DAT,EM_DAT
Namibia,N,Y,Y,EM_DAT,EM_DAT
Nepal,Y,Y,Y,EM_DAT,EM_DAT
Nicaragua,Y,Y,Y,EM_DAT,EM_DAT
Niger (the),N,Y,Y,EM_DAT,EM_DAT
Pakistan,Y,Y,Y,EM_DAT,EM_DAT
Peru,Y,Y,Y,EM_DAT,EM_DAT
Philippines (the),N,Y,Y,EM_DAT,EM_DAT
Romania,N,Y,Y,EM_DAT,EM_DAT
Somalia,N,Y,Y,EM_DAT,EM_DAT
South Africa,N,Y,Y,EM_DAT,EM_DAT
Sri Lanka,Y,Y,Y,EM_DAT,EM_DAT
Tajikistan,N,Y,Y,EM_DAT,EM_DAT
Viet Nam,Y,Y,Y,EM_DAT,EM_DAT
Yemen,Y,Y,Y,EM_DAT,EM_DAT
