Country,Year,Population
Afghanistan,2002,21378117.00
Afghanistan,2003,22733049.00
Afghanistan,2004,23560654.00
Afghanistan,2005,24404567.00
Afghanistan,2006,25424094.00
Afghanistan,2007,25909852.00
Afghanistan,2008,26482622.00
Afghanistan,2009,27466101.00
Afghanistan,2010,28284089.00
Afghanistan,2011,29347708.00
Afghanistan,2012,30560034.00
Afghanistan,2013,31622704.00
Afghanistan,2014,32792523.00
Afghanistan,2015,33831764.00
Afghanistan,2016,34700612.00
Afghanistan,2017,35688935.00
Afghanistan,2018,36743039.00
Afghanistan,2019,37856121.00
Afghanistan,2020,39068979.00
Afghanistan,2021,40000412.00
Afghanistan,2022,40578842.00
Afghanistan,2023,41454761.00
Afghanistan,2024,41454761.00
Algeria,2002,31750835.00
Algeria,2003,32175818.00
Algeria,2004,32628286.00
Algeria,2005,33109249.00
Algeria,2006,33623506.00
Algeria,2007,34189416.00
Algeria,2008,34816961.00
Algeria,2009,35490445.00
Algeria,2010,36188236.00
Algeria,2011,36903376.00
Algeria,2012,37646166.00
Algeria,2013,38414171.00
Algeria,2014,39205031.00
Algeria,2015,40019529.00
Algeria,2016,40850721.00
Algeria,2017,41689299.00
Algeria,2018,42505035.00
Algeria,2019,43294546.00
Algeria,2020,44042091.00
Algeria,2021,44761099.00
Algeria,2022,45477389.00
Algeria,2023,46164219.00
Algeria,2024,46164219.00
Angola,2002,17327699.00
Angola,2003,17943712.00
Angola,2004,18600423.00
Angola,2005,19291161.00
Angola,2006,20015279.00
Angola,2007,20778561.00
Angola,2008,21578655.00
Angola,2009,22414773.00
Angola,2010,23294825.00
Angola,2011,24218352.00
Angola,2012,25177394.00
Angola,2013,26165620.00
Angola,2014,27160769.00
Angola,2015,28157798.00
Angola,2016,29183070.00
Angola,2017,30234839.00
Angola,2018,31297155.00
Angola,2019,32375632.00
Angola,2020,33451132.00
Angola,2021,34532429.00
Angola,2022,35635029.00
Angola,2023,36749906.00
Angola,2024,36749906.00
Azerbaijan,2002,8171950.00
Azerbaijan,2003,8234100.00
Azerbaijan,2004,8306500.00
Azerbaijan,2005,8391850.00
Azerbaijan,2006,8484550.00
Azerbaijan,2007,8581300.00
Azerbaijan,2008,8763400.00
Azerbaijan,2009,8947243.00
Azerbaijan,2010,9054332.00
Azerbaijan,2011,9173082.00
Azerbaijan,2012,9295784.00
Azerbaijan,2013,9416801.00
Azerbaijan,2014,9535079.00
Azerbaijan,2015,9649341.00
Azerbaijan,2016,9757812.00
Azerbaijan,2017,9854033.00
Azerbaijan,2018,9939771.00
Azerbaijan,2019,10024283.00
Azerbaijan,2020,10093121.00
Azerbaijan,2021,10137750.00
Azerbaijan,2022,10141756.00
Azerbaijan,2023,10153958.00
Azerbaijan,2024,10153958.00
Bangladesh,2002,138933658.00
Bangladesh,2003,140970351.00
Bangladesh,2004,142902856.00
Bangladesh,2005,144715786.00
Bangladesh,2006,146405973.00
Bangladesh,2007,147989278.00
Bangladesh,2008,149474264.00
Bangladesh,2009,150873714.00
Bangladesh,2010,152201981.00
Bangladesh,2011,153591076.00
Bangladesh,2012,155070101.00
Bangladesh,2013,156532141.00
Bangladesh,2014,157964929.00
Bangladesh,2015,159383179.00
Bangladesh,2016,160811932.00
Bangladesh,2017,162186147.00
Bangladesh,2018,163523103.00
Bangladesh,2019,164913055.00
Bangladesh,2020,166298024.00
Bangladesh,2021,167658854.00
Bangladesh,2022,169384897.00
Bangladesh,2023,171466990.00
Bangladesh,2024,171466990.00
Bosnia and Herzegovina,2002,4188002.00
Bosnia and Herzegovina,2003,4178523.00
Bosnia and Herzegovina,2004,4140987.00
Bosnia and Herzegovina,2005,4096493.00
Bosnia and Herzegovina,2006,4063272.00
Bosnia and Herzegovina,2007,4013424.00
Bosnia and Herzegovina,2008,3947544.00
Bosnia and Herzegovina,2009,3879794.00
Bosnia and Herzegovina,2010,3811472.00
Bosnia and Herzegovina,2011,3741798.00
Bosnia and Herzegovina,2012,3670113.00
Bosnia and Herzegovina,2013,3610859.00
Bosnia and Herzegovina,2014,3564829.00
Bosnia and Herzegovina,2015,3518541.00
Bosnia and Herzegovina,2016,3473003.00
Bosnia and Herzegovina,2017,3428682.00
Bosnia and Herzegovina,2018,3387000.00
Bosnia and Herzegovina,2019,3345533.00
Bosnia and Herzegovina,2020,3299349.00
Bosnia and Herzegovina,2021,3244907.00
Bosnia and Herzegovina,2022,3204802.00
Bosnia and Herzegovina,2023,3185073.00
Bosnia and Herzegovina,2024,3185073.00
Bulgaria,2002,7837161.00
Bulgaria,2003,7775327.00
Bulgaria,2004,7716860.00
Bulgaria,2005,7658972.00
Bulgaria,2006,7601022.00
Bulgaria,2007,7545338.00
Bulgaria,2008,7492561.00
Bulgaria,2009,7444443.00
Bulgaria,2010,7395599.00
Bulgaria,2011,7348328.00
Bulgaria,2012,7305888.00
Bulgaria,2013,7265115.00
Bulgaria,2014,7223938.00
Bulgaria,2015,7177991.00
Bulgaria,2016,7127822.00
Bulgaria,2017,7075947.00
Bulgaria,2018,7025037.00
Bulgaria,2019,6975761.00
Bulgaria,2020,6934015.00
Bulgaria,2021,6877743.00
Bulgaria,2022,6643324.00
Bulgaria,2023,6446596.00
Bulgaria,2024,6446596.00
Costa Rica,2002,4075705.00
