Country,Year,Type of event,Total affected,Total Damage
Costa Rica,2002,Earthquake,9,0
Costa Rica,2002,Flood,11971,0
Costa Rica,2002,Storm,55,0
Costa Rica,2003,Earthquake,228,0
Costa Rica,2003,Flood,1506,0
Costa Rica,2003,Storm,23,0
Costa Rica,2004,Flood,1561,0
Costa Rica,2005,Flood,11870,0
Costa Rica,2005,Storm,4,0
Costa Rica,2006,Flood,2179,0
Costa Rica,2007,Flood,19537,0
Costa Rica,2007,Storm,8820,0
Costa Rica,2008,Earthquake,172,0
Costa Rica,2008,Flood,14454,0
Costa Rica,2009,Earthquake,7956,0
Costa Rica,2009,Flood,3413,0
Costa Rica,2009,Storm,1587,0
Costa Rica,2010,Flood,28316,0
Costa Rica,2010,Storm,424,0
Costa Rica,2011,Earthquake,16,0
Costa Rica,2011,Flood,8171,0
Costa Rica,2011,Storm,98,0
Costa Rica,2012,Earthquake,12476,0
Costa Rica,2012,Flood,5386,0
Costa Rica,2012,Storm,20196,0
Costa Rica,2013,Flood,6649,0
Costa Rica,2013,Storm,308,0
Costa Rica,2014,Drought,951,6134434
Costa Rica,2014,Flood,8863,0
Costa Rica,2014,Storm,465,0
Costa Rica,2015,Flood,1700,0
Costa Rica,2015,Storm,186,0
Costa Rica,2016,Earthquake,4140,0
Costa Rica,2016,Flood,1301,233531
Costa Rica,2016,Storm,3282,151600015
Costa Rica,2017,Flood,5016,1360648595
Costa Rica,2017,Storm,2692,158777319
Costa Rica,2018,Flood,12919,397388
Costa Rica,2018,Storm,45,0
Costa Rica,2019,Flood,317,0
Djibouti,2004,Drought,1234,0
Djibouti,2006,Flood,57,0
Djibouti,2008,Drought,656,0
Djibouti,2008,Flood,5,0
Djibouti,2009,Flood,10,0
Djibouti,2009,Storm,10,0
Djibouti,2010,Drought,3,0
Djibouti,2010,Storm,1,0
Djibouti,2011,Drought,1,0
Djibouti,2011,Storm,2,0
El Salvador,2003,Drought,6000,0
El Salvador,2003,Flood,3830,0
El Salvador,2004,Drought,1000,0
El Salvador,2004,Flood,2902,0
El Salvador,2004,Storm,245,0
El Salvador,2005,Earthquake,2315,0
El Salvador,2005,Flood,153631,0
El Salvador,2005,Storm,545,0
El Salvador,2006,Earthquake,10161,0
El Salvador,2006,Flood,11819,0
El Salvador,2006,Storm,15546,0
El Salvador,2007,Flood,16185,0
El Salvador,2007,Storm,707,0
El Salvador,2008,Flood,10313,525
El Salvador,2008,Storm,85,0
El Salvador,2009,Drought,0,27135180
El Salvador,2009,Earthquake,305,0
El Salvador,2009,Flood,5305,0
El Salvador,2009,Storm,596,0
El Salvador,2010,Earthquake,200,0
El Salvador,2010,Flood,44435,465940
El Salvador,2010,Storm,785,200
El Salvador,2011,Earthquake,440,0
El Salvador,2011,Flood,58464,9040141
El Salvador,2011,Storm,12816,661376
