Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2014-00014,FLOOD,Portland,15/12/2014,0,0,0
2014-00012,FLOOD,Portland,15/12/2014,0,0,0
2014-00011,FLOOD,Portland,15/12/2014,0,0,0
2014-00010,FLOOD,Portland,15/12/2014,0,0,0
2014-00009,LANDSLIDE,Portland,15/12/2014,0,0,0
2014-00008,FLOOD,Portland,15/12/2014,0,0,0
2014-00007,FLOOD,Portland,15/12/2014,0,0,0
2014-00006,LANDSLIDE,Portland,15/12/2014,0,0,0
2014-00005,LANDSLIDE,Portland,15/12/2014,0,0,0
2014-00004,FLOOD,Portland,15/12/2014,0,0,0
2014-00003,LANDSLIDE,Portland,15/12/2014,0,0,0
2014-00002,LANDSLIDE,Portland,15/12/2014,0,0,0
2014-00001,FLOOD,Portland,15/12/2014,0,0,0
2012-00015,HURRICANE,St. Mary,24/10/2012,21,0,0
2012-00014,HURRICANE,Trelawny,24/10/2012,12,3846,414677.7
2012-00013,HURRICANE,St. James,24/10/2012,0,0,479557.426
2012-00012,HURRICANE,Hanover,24/10/2012,0,0,142111.1
2012-00011,HURRICANE,Westmoreland,24/10/2012,0,0,50277.7
2012-00010,HURRICANE,Manchester,24/10/2012,806,2227,163555.5
2012-00009,HURRICANE,St. Elizabeth,24/10/2012,1855,3855,1717777.7
2012-00008,HURRICANE,Clarendon,24/10/2012,1,65147,832111.1
2012-00007,HURRICANE,St. Catherine,24/10/2012,2204,339158,1670111.11
2012-00006,HURRICANE,St. Ann,24/10/2012,66,34591,1218311.1
2012-00005,HURRICANE,St. Andrew,24/10/2012,1998,135558,1735222.2
2012-00004,HURRICANE,St. Thomas,24/10/2012,8642,29868,4133500
2012-00003,HURRICANE,St. Mary,24/10/2012,6412,38576,4139127.7
2012-00002,HURRICANE,Portland,24/10/2012,7429,28191,3878325.9
2001-00025,LANDSLIDE,Portland,28/10/2001,23,0,0
2011-00013,FIRE,St. Catherine,01/01/2011,190,0,0
2011-00012,FIRE,Clarendon,01/01/2011,94,0,0
2011-00011,FIRE,Manchester,01/01/2011,86,0,0
2011-00010,FIRE,St. Elizabeth,01/01/2011,97,0,0
2010-00077,STORM,Westmoreland,26/09/2010,0,0,0
2011-00009,FIRE,Westmoreland,01/01/2011,127,0,0
2011-00008,FIRE,Hanover,01/01/2011,51,0,0
2011-00006,FIRE,Trelawny,01/01/2011,0,0,0
2011-00005,FIRE,St. Ann,01/01/2011,149,0,0
2011-00004,FIRE,St. Mary,01/01/2011,126,0,0
2011-00003,FIRE,Portland,01/01/2011,32,0,0
2011-00002,FIRE,St. Thomas,01/01/2011,62,0,0
2011-00001,FIRE,St. Andrew,01/01/2011,837,0,0
2001-00024,FLOOD,St. Mary,28/10/2001,81,221,0
2001-00023,FLOOD,St. Mary,28/10/2001,0,1386,0
2001-00022,LANDSLIDE,Portland,28/10/2001,18,9,0
2001-00020,FLOOD,Portland,28/10/2001,9,5,0
2006-00020,FIRE,St. Catherine,01/01/2006,36,41,0
2006-00019,FIRE,Clarendon,01/01/2006,0,27,0
2006-00018,FIRE,St. Elizabeth,01/01/2006,57,5,0
2006-00017,FIRE,Westmoreland,01/01/2006,116,0,0
2006-00016,FIRE,Hanover,01/01/2006,39,14,0
2006-00015,FIRE,St. James,01/01/2006,192,297,0
2006-00014,FIRE,Trelawny,01/01/2006,67,0,0
2006-00013,FIRE,St. Ann,01/01/2006,148,0,0
2006-00012,FIRE,Portland,01/01/2006,36,23,0
2009-00012,FIRE,St. Catherine,01/01/2009,83,0,0
2009-00011,FIRE,Clarendon,01/01/2009,127,0,0
2006-00011,FIRE,St. Thomas,01/01/2006,61,0,0
2001-00016,FLOOD,St. Mary,28/10/2001,113,59,0
2006-00010,FIRE,St. Andrew,01/01/2006,1390,0,0
2009-00010,FIRE,Manchester,01/01/2009,133,0,0
2009-00009,FIRE,St. Elizabeth,01/01/2009,69,0,0
2009-00008,FIRE,Westmoreland,01/01/2009,174,0,0
2003-00021,FIRE,St. Catherine,01/01/2003,0,0,0
2009-00007,FIRE,Hanover,01/01/2009,50,0,0
2003-00020,FIRE,Manchester,01/01/2003,0,0,0
2009-00006,FIRE,St. James,01/01/2009,255,0,0
2003-00019,FIRE,Westmoreland,01/01/2003,0,0,0
2003-00018,FIRE,Hanover,01/01/2003,0,0,0
2009-00005,FIRE,St. Ann,01/01/2009,93,0,0
2003-00017,FIRE,St. James,01/01/2003,0,0,0
2009-00004,FIRE,St. Mary,01/01/2009,102,0,0
2003-00016,FIRE,St. Ann,01/01/2003,0,0,0
2009-00003,FIRE,Portland,01/01/2009,50,0,0
2003-00015,FIRE,St. Mary,01/01/2003,0,0,0
2009-00002,FIRE,St. Thomas,01/01/2009,82,0,0
2003-00014,FIRE,Portland,01/01/2003,0,0,0
2009-00001,FIRE,St. Andrew,01/01/2009,1019,0,0
2003-00013,FIRE,St. Andrew,01/01/2003,0,0,0
2001-00015,FLOOD,Portland,28/10/2001,18,27,0
