Serial,Event,&quot;Estado&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2013-02786,HAILSTORM,CHIHUAHUA,14/06/2013,0,0,0
2013-02785,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02784,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02783,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02782,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02781,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02780,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02779,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02778,FROST,DURANGO,27/12/2013,0,0,0
2013-02777,FROST,DURANGO,27/12/2013,0,0,0
2013-02776,FROST,DURANGO,27/12/2013,0,0,0
2013-02775,FROST,DURANGO,27/12/2013,0,0,0
2013-02774,FROST,DURANGO,27/12/2013,0,0,0
2013-02773,FROST,DURANGO,27/12/2013,0,0,0
2013-02772,FROST,SONORA,27/12/2013,0,0,0
2013-02771,FROST,SONORA,27/12/2013,0,0,0
2013-02770,FROST,SONORA,27/12/2013,0,0,0
2013-02769,FROST,SONORA,27/12/2013,0,0,0
2013-02768,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02767,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02766,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02765,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02764,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02763,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02762,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02761,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02760,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02759,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02758,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02757,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02756,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02755,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02754,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02753,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02752,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02751,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02750,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02749,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02748,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02747,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02746,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02745,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02744,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02743,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
