Serial,Event,&quot;Regions&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
766,Feux de Forêts,Gharb Chrarda Beni Hssen,24/09/2003,0,0,0
765,Feux de Forêts,Gharb Chrarda Beni Hssen,16/09/2003,0,0,0
764,Feux de Forêts,Gharb Chrarda Beni Hssen,24/07/2003,0,0,0
763,Feux de Forêts,Gharb Chrarda Beni Hssen,26/06/2003,0,0,0
762,Feux de Forêts,Gharb Chrarda Beni Hssen,19/06/2003,0,0,0
761,Feux de Forêts,Rabat Salé Zemmour Zear,24/09/2003,0,0,0
760,Feux de Forêts,Rabat Salé Zemmour Zear,09/09/2003,0,0,0
759,Feux de Forêts,Rabat Salé Zemmour Zear,31/08/2003,0,0,0
758,Feux de Forêts,Rabat Salé Zemmour Zear,21/08/2003,0,0,0
757,Feux de Forêts,Rabat Salé Zemmour Zear,16/08/2003,0,0,0
756,Feux de Forêts,Rabat Salé Zemmour Zear,06/08/2003,0,0,0
754,Feux de Forêts,Rabat Salé Zemmour Zear,17/09/2003,0,0,0
753,Feux de Forêts,Rabat Salé Zemmour Zear,11/09/2003,0,0,0
752,Feux de Forêts,Rabat Salé Zemmour Zear,22/07/2003,0,0,0
751,Feux de Forêts,Rabat Salé Zemmour Zear,18/07/2003,0,0,0
750,Feux de Forêts,Rabat Salé Zemmour Zear,16/07/2003,0,0,0
749,Feux de Forêts,Rabat Salé Zemmour Zear,01/07/2003,0,0,0
748,Feux de Forêts,Rabat Salé Zemmour Zear,23/06/2003,0,0,0
747,Feux de Forêts,Rabat Salé Zemmour Zear,14/06/2003,0,0,0
746,Feux de Forêts,Rabat Salé Zemmour Zear,14/06/2003,0,0,0
745,Feux de Forêts,Rabat Salé Zemmour Zear,30/04/2003,0,0,0
744,Feux de Forêts,Gharb Chrarda Beni Hssen,17/09/2003,0,0,0
743,Feux de Forêts,Gharb Chrarda Beni Hssen,16/09/2003,0,0,0
742,Feux de Forêts,Gharb Chrarda Beni Hssen,13/09/2003,0,0,0
741,Feux de Forêts,Gharb Chrarda Beni Hssen,11/09/2003,0,0,0
740,Feux de Forêts,Gharb Chrarda Beni Hssen,11/09/2003,0,0,0
739,Feux de Forêts,Gharb Chrarda Beni Hssen,09/09/2003,0,0,0
738,Feux de Forêts,Gharb Chrarda Beni Hssen,27/08/2003,0,0,0
737,Feux de Forêts,Gharb Chrarda Beni Hssen,24/08/2003,0,0,0
736,Feux de Forêts,Gharb Chrarda Beni Hssen,20/08/2003,0,0,0
735,Feux de Forêts,Gharb Chrarda Beni Hssen,23/08/2003,0,0,0
734,Feux de Forêts,Gharb Chrarda Beni Hssen,12/08/2003,0,0,0
733,Feux de Forêts,Gharb Chrarda Beni Hssen,09/08/2003,0,0,0
732,Feux de Forêts,Gharb Chrarda Beni Hssen,07/08/2003,0,0,0
731,Feux de Forêts,Gharb Chrarda Beni Hssen,06/08/2003,0,0,0
730,Feux de Forêts,Gharb Chrarda Beni Hssen,01/08/2003,0,0,0
729,Feux de Forêts,Gharb Chrarda Beni Hssen,30/07/2003,0,0,0
728,Feux de Forêts,Gharb Chrarda Beni Hssen,27/07/2003,0,0,0
727,Feux de Forêts,Gharb Chrarda Beni Hssen,26/07/2003,0,0,0
726,Feux de Forêts,Gharb Chrarda Beni Hssen,26/07/2003,0,0,0
725,Feux de Forêts,Gharb Chrarda Beni Hssen,25/07/2003,0,0,0
724,Feux de Forêts,Gharb Chrarda Beni Hssen,23/07/2003,0,0,0
723,Feux de Forêts,Gharb Chrarda Beni Hssen,22/07/2003,0,0,0
722,Feux de Forêts,Gharb Chrarda Beni Hssen,17/07/2003,0,0,0
721,Feux de Forêts,Gharb Chrarda Beni Hssen,03/07/2003,0,0,0
720,Feux de Forêts,Gharb Chrarda Beni Hssen,04/07/2003,0,0,0
719,Feux de Forêts,Gharb Chrarda Beni Hssen,03/07/2003,0,0,0
718,Feux de Forêts,Gharb Chrarda Beni Hssen,03/07/2003,0,0,0
717,Feux de Forêts,Gharb Chrarda Beni Hssen,20/06/2003,0,0,0
716,Feux de Forêts,Gharb Chrarda Beni Hssen,19/06/2003,0,0,0
715,Feux de Forêts,Gharb Chrarda Beni Hssen,15/06/2003,0,0,0
714,Feux de Forêts,Gharb Chrarda Beni Hssen,15/06/2003,0,0,0
713,Feux de Forêts,Gharb Chrarda Beni Hssen,13/06/2003,0,0,0
712,Feux de Forêts,Gharb Chrarda Beni Hssen,12/06/2003,0,0,0
711,Feux de Forêts,Gharb Chrarda Beni Hssen,12/06/2003,0,0,0
710,Feux de Forêts,Gharb Chrarda Beni Hssen,11/06/2003,0,0,0
709,Feux de Forêts,Gharb Chrarda Beni Hssen,06/06/2003,0,0,0
708,Feux de Forêts,Gharb Chrarda Beni Hssen,05/06/2003,0,0,0
707,Feux de Forêts,Gharb Chrarda Beni Hssen,01/06/2003,0,0,0
706,Feux de Forêts,Gharb Chrarda Beni Hssen,28/05/2003,0,0,0
705,Feux de Forêts,Gharb Chrarda Beni Hssen,26/05/2003,0,0,0
704,Feux de Forêts,Gharb Chrarda Beni Hssen,22/05/2003,0,0,0
703,Feux de Forêts,Gharb Chrarda Beni Hssen,22/05/2003,0,0,0
702,Tremblement de terre,Tadla Azilal,14/08/2003,0,0,0
701,Feux de Forêts,l Oriental,10/08/2003,0,0,0
700,Feux de Forêts,l Oriental,27/07/2003,0,0,0
699,Feux de Forêts,l Oriental,26/07/2003,0,0,0
698,Feux de Forêts,l Oriental,25/07/2003,0,0,0
697,Feux de Forêts,l Oriental,21/07/2003,0,0,0
696,Feux de Forêts,l Oriental,19/07/2003,0,0,0
695,Feux de Forêts,l Oriental,09/07/2003,0,0,0
694,Feux de Forêts,l Oriental,03/07/2003,0,0,0
693,Feux de Forêts,l Oriental,07/07/2003,0,0,0
692,Feux de Forêts,l Oriental,29/06/2003,0,0,0
691,Feux de Forêts,l Oriental,23/06/2003,0,0,0
690,Feux de Forêts,l Oriental,19/06/2003,0,0,0
689,Feux de Forêts,l Oriental,15/09/2003,0,0,0
688,Feux de Forêts,l Oriental,15/09/2003,0,0,0
687,Feux de Forêts,l Oriental,09/09/2003,0,0,0
686,Feux de Forêts,l Oriental,20/07/2003,0,0,0
685,Feux de Forêts,l Oriental,29/06/2003,0,0,0
684,Feux de Forêts,l Oriental,28/06/2003,0,0,0
683,Feux de Forêts,l Oriental,27/06/2003,0,0,0
682,Feux de Forêts,l Oriental,26/06/2003,0,0,0
681,Feux de Forêts,l Oriental,21/06/2003,0,0,0
679,Feux de Forêts,l Oriental,04/06/2003,0,0,0
678,Feux de Forêts,l Oriental,02/06/2003,0,0,0
677,Feux de Forêts,l Oriental,21/05/2003,0,0,0
676,Feux de Forêts,l Oriental,08/09/2003,0,0,0
675,Feux de Forêts,l Oriental,26/07/2003,0,0,0
674,Feux de Forêts,l Oriental,31/07/2003,0,0,0
673,Feux de Forêts,l Oriental,20/07/2003,0,0,0
672,Feux de Forêts,l Oriental,10/06/2003,0,0,0
671,Feux de Forêts,l Oriental,29/09/2003,0,0,0
670,Feux de Forêts,l Oriental,11/09/2003,0,0,0
669,Feux de Forêts,l Oriental,25/08/2003,0,0,0
668,Feux de Forêts,l Oriental,14/08/2003,0,0,0
667,Feux de Forêts,l Oriental,14/08/2003,0,0,0
666,Feux de Forêts,l Oriental,11/08/2003,0,0,0
665,Feux de Forêts,l Oriental,10/08/2003,0,0,0
664,Feux de Forêts,l Oriental,03/08/2003,0,0,0
663,Feux de Forêts,l Oriental,03/08/2003,0,0,0
662,Feux de Forêts,l Oriental,01/08/2003,0,0,0
661,Feux de Forêts,l Oriental,01/08/2003,0,0,0
660,Feux de Forêts,l Oriental,01/08/2003,0,0,0
659,Feux de Forêts,l Oriental,27/07/2003,0,0,0
658,Feux de Forêts,l Oriental,26/07/2003,0,0,0
657,Feux de Forêts,l Oriental,21/07/2003,0,0,0
656,Feux de Forêts,l Oriental,02/07/2003,0,0,0
655,Feux de Forêts,l Oriental,29/06/2003,0,0,0
654,Feux de Forêts,l Oriental,28/06/2003,0,0,0
653,Feux de Forêts,l Oriental,26/06/2003,0,0,0
652,Feux de Forêts,l Oriental,21/06/2003,0,0,0
651,Feux de Forêts,l Oriental,02/07/2003,0,0,0
650,Feux de Forêts,l Oriental,29/06/2003,0,0,0
649,Feux de Forêts,l Oriental,28/06/2003,0,0,0
648,Feux de Forêts,l Oriental,26/06/2003,0,0,0
647,Feux de Forêts,l Oriental,10/06/2003,0,0,0
646,Feux de Forêts,l Oriental,01/06/2003,0,0,0
645,Feux de Forêts,l Oriental,01/06/2003,0,0,0
644,Feux de Forêts,l Oriental,18/05/2003,0,0,0
643,Feux de Forêts,l Oriental,10/05/2003,0,0,0
642,Feux de Forêts,l Oriental,10/05/2003,0,0,0
641,Feux de Forêts,l Oriental,02/01/2003,0,0,0
640,Feux de Forêts,Taza Al Hoceima Taounate,02/09/2003,0,0,0
639,Feux de Forêts,Taza Al Hoceima Taounate,01/09/2003,0,0,0
638,Feux de Forêts,Taza Al Hoceima Taounate,30/08/2003,0,0,0
637,Feux de Forêts,Taza Al Hoceima Taounate,26/08/2003,0,0,0
636,Feux de Forêts,Taza Al Hoceima Taounate,18/08/2003,0,0,0
635,Feux de Forêts,Taza Al Hoceima Taounate,15/08/2003,0,0,0
634,Feux de Forêts,Taza Al Hoceima Taounate,02/08/2003,0,0,0
633,Feux de Forêts,Taza Al Hoceima Taounate,30/07/2003,0,0,0
632,Tremblement de terre,Taza Al Hoceima Taounate,30/07/2003,0,0,0
631,Feux de Forêts,Taza Al Hoceima Taounate,30/07/2003,0,0,0
630,Feux de Forêts,Taza Al Hoceima Taounate,20/07/2003,0,0,0
629,Feux de Forêts,Taza Al Hoceima Taounate,19/07/2003,0,0,0
628,Feux de Forêts,Taza Al Hoceima Taounate,17/07/2003,0,0,0
627,Feux de Forêts,Taza Al Hoceima Taounate,12/07/2003,0,0,0
626,Feux de Forêts,Taza Al Hoceima Taounate,07/07/2003,0,0,0
625,Feux de Forêts,Taza Al Hoceima Taounate,14/03/2003,0,0,0
624,Feux de Forêts,Taza Al Hoceima Taounate,29/09/2003,0,0,0
623,Feux de Forêts,Taza Al Hoceima Taounate,27/09/2003,0,0,0
622,Feux de Forêts,Taza Al Hoceima Taounate,17/09/2003,0,0,0
621,Feux de Forêts,Taza Al Hoceima Taounate,28/08/2003,0,0,0
620,Feux de Forêts,Taza Al Hoceima Taounate,25/08/2003,0,0,0
619,Feux de Forêts,Taza Al Hoceima Taounate,19/08/2003,0,0,0
618,Feux de Forêts,Taza Al Hoceima Taounate,13/08/2003,0,0,0
617,Feux de Forêts,Taza Al Hoceima Taounate,11/08/2003,0,0,0
