Country,Year,Population
Afghanistan,2002,3825701439
Afghanistan,2003,4520946819
Afghanistan,2004,5224896719
Afghanistan,2005,6203256539
Afghanistan,2006,6971758282
Afghanistan,2007,9747886187
Afghanistan,2008,10109297048
Afghanistan,2009,12416152732
Afghanistan,2010,15856668556
Afghanistan,2011,17805098206
Afghanistan,2012,19907329778
Afghanistan,2013,20146416758
Afghanistan,2014,20497128556
Afghanistan,2015,19134221645
Afghanistan,2016,18116572395
Afghanistan,2017,18753456498
Afghanistan,2018,18053222687
Afghanistan,2019,18799444490
Afghanistan,2020,19955929052
Afghanistan,2021,14259995441
Afghanistan,2022,14497243872
Afghanistan,2023,17233051620
Afghanistan,2024,17233051620
Algeria,2002,61516103406
Algeria,2003,73482264191
Algeria,2004,91913680985
Algeria,2005,1.07E+11
Algeria,2006,1.23E+11
Algeria,2007,1.42E+11
Algeria,2008,1.80E+11
Algeria,2009,1.50E+11
Algeria,2010,1.78E+11
Algeria,2011,2.18E+11
Algeria,2012,2.27E+11
Algeria,2013,2.30E+11
Algeria,2014,2.39E+11
Algeria,2015,1.87E+11
Algeria,2016,1.81E+11
Algeria,2017,1.90E+11
Algeria,2018,1.95E+11
Algeria,2019,1.93E+11
Algeria,2020,1.65E+11
Algeria,2021,1.86E+11
Algeria,2022,2.26E+11
Algeria,2023,2.48E+11
Algeria,2024,2.48E+11
Angola,2002,15285592370
Angola,2003,17812704586
Angola,2004,23552057679
Angola,2005,36970900884
Angola,2006,52381025141
Angola,2007,65266415494
Angola,2008,88538665085
Angola,2009,70307196182
Angola,2010,83799474070
Angola,2011,1.12E+11
Angola,2012,1.28E+11
Angola,2013,1.32E+11
Angola,2014,1.36E+11
Angola,2015,90496420507
Angola,2016,52761617226
Angola,2017,73690154991
Angola,2018,79450688259
Angola,2019,70897962732
Angola,2020,48501561204
Angola,2021,66505129988
Angola,2022,1.04E+11
Angola,2023,84824654482
Angola,2024,84824654482
Azerbaijan,2002,6236087738
Azerbaijan,2003,7276413079
Azerbaijan,2004,8680405741
Azerbaijan,2005,13245421881
Azerbaijan,2006,20981929498
Azerbaijan,2007,33049419431
Azerbaijan,2008,48851293785
Azerbaijan,2009,44292427185
Azerbaijan,2010,52909294792
Azerbaijan,2011,65952796428
Azerbaijan,2012,69679944504
Azerbaijan,2013,74160560124
Azerbaijan,2014,75239785452
Azerbaijan,2015,53076235355
Azerbaijan,2016,37866996883
Azerbaijan,2017,40866627352
Azerbaijan,2018,47112470052
Azerbaijan,2019,48174235294
Azerbaijan,2020,42693000000
Azerbaijan,2021,54825411765
Azerbaijan,2022,78807470588
Azerbaijan,2023,72356176471
Azerbaijan,2024,72356176471
Bangladesh,2002,54724081491
Bangladesh,2003,60158929188
Bangladesh,2004,65108544250
Bangladesh,2005,69476001239
Bangladesh,2006,71795736172
Bangladesh,2007,79611644975
Bangladesh,2008,91636997371
Bangladesh,2009,1.02E+11
Bangladesh,2010,1.15E+11
Bangladesh,2011,1.29E+11
Bangladesh,2012,1.33E+11
Bangladesh,2013,1.50E+11
Bangladesh,2014,1.73E+11
Bangladesh,2015,1.95E+11
Bangladesh,2016,2.65E+11
Bangladesh,2017,2.94E+11
Bangladesh,2018,3.21E+11
Bangladesh,2019,3.51E+11
Bangladesh,2020,3.74E+11
Bangladesh,2021,4.16E+11
Bangladesh,2022,4.60E+11
Bangladesh,2023,4.37E+11
Bangladesh,2024,4.37E+11
Bosnia and Herzegovina,2002,6728220887
Bosnia and Herzegovina,2003,8498894359
Bosnia and Herzegovina,2004,10156541538
Bosnia and Herzegovina,2005,11222796337
Bosnia and Herzegovina,2006,12864841906
Bosnia and Herzegovina,2007,15778734264
Bosnia and Herzegovina,2008,19112796623
Bosnia and Herzegovina,2009,17613949091
Bosnia and Herzegovina,2010,17176315804
Bosnia and Herzegovina,2011,18644233537
Bosnia and Herzegovina,2012,17226735996
Bosnia and Herzegovina,2013,18179108531
Bosnia and Herzegovina,2014,18558733564
Bosnia and Herzegovina,2015,16404348871
Bosnia and Herzegovina,2016,17116926328
Bosnia and Herzegovina,2017,18326373366
Bosnia and Herzegovina,2018,20484053869
Bosnia and Herzegovina,2019,20482608755
Bosnia and Herzegovina,2020,20226036564
Bosnia and Herzegovina,2021,23672712242
Bosnia and Herzegovina,2022,24534663636
Bosnia and Herzegovina,2023,27514782476
Bosnia and Herzegovina,2024,27514782476
Bulgaria,2002,16403043850
Bulgaria,2003,21144957990
Bulgaria,2004,26157743369
Bulgaria,2005,29868657858
Bulgaria,2006,34380536496
Bulgaria,2007,44432811756
Bulgaria,2008,54480684188
Bulgaria,2009,52023801230
Bulgaria,2010,50760929303
Bulgaria,2011,57737040780
Bulgaria,2012,54288135059
Bulgaria,2013,55852123990
Bulgaria,2014,57157782910
Bulgaria,2015,50811995689
Bulgaria,2016,53964253212
Bulgaria,2017,59309748166
Bulgaria,2018,66289266349
Bulgaria,2019,68631726289
Bulgaria,2020,70716821235
Bulgaria,2021,84417951261
Bulgaria,2022,90642851836
Bulgaria,2023,1.02E+11
