Serial,Event,&quot;Ostan&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
18478,FLOOD,Fars,13/12/2004,0,0,0
18477,FLOOD,Fars,04/02/2004,0,0,0
18476,FLOOD,Fars,14/01/2004,0,0,0
18475,FLOOD,Fars,09/01/2004,0,0,0
18474,FLOOD,Fars,08/01/2004,0,0,0
18473,FLOOD,Fars,06/12/2003,0,0,0
18472,FLOOD,Fars,11/08/2003,0,0,0
18471,FLOOD,Fars,06/08/2003,0,0,0
18470,FLOOD,Fars,02/08/2003,0,0,0
18469,FLOOD,Fars,29/07/2003,0,0,0
18468,FLOOD,Fars,03/02/2002,0,0,0
18467,FLOOD,Fars,02/02/2002,0,0,0
18466,FLOOD,Fars,12/01/2002,0,0,0
18465,FLOOD,Fars,12/01/2002,0,0,0
18464,FLOOD,Fars,11/01/2002,0,0,0
18463,FLOOD,Fars,11/01/2002,0,0,0
18462,FLOOD,Fars,11/01/2002,0,0,0
18461,FLOOD,Fars,11/01/2002,0,0,0
18460,FLOOD,Fars,11/01/2002,0,0,0
18459,FLOOD,Fars,20/12/2001,0,0,0
18458,FLOOD,Fars,16/12/2001,0,0,0
18457,FLOOD,Fars,11/12/2000,0,0,0
18456,FLOOD,Fars,14/08/2000,0,0,0
18455,FLOOD,Fars,07/08/2000,0,0,0
18454,FLOOD,Fars,16/03/1999,0,0,0
18453,FLOOD,Fars,08/03/1999,0,0,0
18452,FLOOD,Fars,07/03/1999,0,0,0
18451,FLOOD,Fars,02/03/1999,0,0,0
18450,FLOOD,Fars,02/03/1999,0,0,0
18449,FLOOD,Fars,02/03/1999,0,0,0
18448,FLOOD,Fars,02/03/1999,0,0,0
18447,FLOOD,Fars,02/03/1999,0,0,0
18446,FLOOD,Fars,02/03/1999,0,0,0
18445,FLOOD,Fars,01/03/1999,0,0,0
18444,FLOOD,Fars,01/03/1999,0,0,0
18443,FLOOD,Fars,06/02/1999,0,0,0
18442,FLOOD,Fars,06/02/1999,0,0,0
18441,FLOOD,Fars,06/02/1999,0,0,0
18440,FLOOD,Fars,06/02/1999,0,0,0
18439,FLOOD,Fars,18/01/1999,0,0,0
18438,FLOOD,Fars,09/07/1998,0,0,0
18437,FLOOD,Fars,28/06/1998,0,0,0
18436,FLOOD,Fars,19/06/1998,0,0,0
18435,FLOOD,Fars,07/06/1998,0,0,0
18434,FLOOD,Fars,18/05/1998,0,0,0
18433,FLOOD,Fars,22/04/1998,0,0,0
18432,FLOOD,Fars,07/04/1998,0,0,0
18431,FLOOD,Fars,06/04/1998,0,0,0
18430,FLOOD,Fars,01/04/1998,0,0,0
18429,FLOOD,Fars,29/03/1998,0,0,0
18428,FLOOD,Fars,24/03/1998,0,0,0
18427,FLOOD,Fars,01/03/1998,0,0,0
18426,FLOOD,Fars,12/02/1998,0,0,0
18425,FLOOD,Fars,11/02/1998,0,0,0
18424,FLOOD,Fars,10/02/1998,0,0,0
18423,FLOOD,Fars,10/02/1998,0,0,0
18422,FLOOD,Fars,09/02/1998,0,0,0
18421,FLOOD,Fars,07/02/1998,0,0,0
18420,FLOOD,Fars,15/01/1998,0,0,0
18419,FLOOD,Fars,07/01/1998,0,0,0
18418,FLOOD,Fars,06/01/1998,0,0,0
18417,FLOOD,Fars,05/01/1998,0,0,0
18416,FLOOD,Fars,05/01/1998,0,0,0
18415,FLOOD,Fars,04/01/1998,0,0,0
18414,FLOOD,Fars,23/06/1997,0,0,0
18413,FLOOD,Fars,18/04/1997,0,0,0
18412,FLOOD,Fars,14/06/1996,0,0,0
18411,FLOOD,Fars,04/04/1996,0,0,0
18410,FLOOD,Fars,03/04/1996,0,0,0
18409,FLOOD,Fars,29/03/1996,0,0,0
18408,FLOOD,Fars,07/03/1996,0,0,0
18407,FLOOD,Fars,03/03/1996,0,0,0
18406,FLOOD,Fars,26/02/1996,0,0,0
18405,FLOOD,Fars,24/10/1995,0,0,0
18404,FLOOD,Fars,31/05/1995,0,0,0
18403,FLOOD,Fars,19/12/1994,0,0,0
18402,FLOOD,Fars,05/12/1994,0,0,0
18401,FLOOD,Fars,05/12/1994,0,0,0
18400,FLOOD,Fars,20/11/1994,0,0,0
18399,FLOOD,Fars,10/11/1994,0,0,0
18398,FLOOD,Fars,09/05/1994,0,0,0
18397,FLOOD,Fars,08/04/1993,0,0,0
18396,FLOOD,Fars,11/03/1993,0,0,0
18395,FLOOD,Fars,11/03/1993,0,0,0
18394,FLOOD,Fars,01/03/1993,0,0,0
18393,FLOOD,Fars,25/02/1993,0,0,0
18392,FLOOD,Fars,24/02/1993,0,0,0
18391,FLOOD,Fars,10/02/1993,0,0,0
18390,FLOOD,Fars,09/02/1993,0,0,0
18389,FLOOD,Fars,08/02/1993,0,0,0
18388,FLOOD,Fars,08/02/1993,0,0,0
18387,FLOOD,Fars,06/02/1993,0,0,0
18386,FLOOD,Fars,06/02/1993,0,0,0
18385,FLOOD,Fars,17/01/1993,0,0,0
18384,FLOOD,Fars,11/01/1993,0,0,0
18383,FLOOD,Fars,09/01/1993,0,0,0
18382,FLOOD,Fars,06/01/1993,0,0,0
18381,FLOOD,Fars,06/01/1993,0,0,0
18380,FLOOD,Fars,06/01/1993,0,0,0
18379,FLOOD,Fars,03/01/1993,0,0,0
18378,FLOOD,Fars,24/12/1992,0,0,0
18377,FLOOD,Fars,23/12/1992,0,0,0
18376,FLOOD,Fars,23/12/1992,0,0,0
18375,FLOOD,Fars,23/12/1992,0,0,0
18374,FLOOD,Fars,23/12/1992,0,0,0
18373,FLOOD,Fars,25/07/1992,0,0,0
18372,FLOOD,Fars,08/05/1992,0,0,0
18371,FLOOD,Fars,08/05/1992,0,0,0
18370,FLOOD,Fars,26/02/1992,0,0,0
18369,FLOOD,Fars,16/12/1991,0,0,0
18368,FLOOD,Fars,16/12/1991,0,0,0
18367,FLOOD,Fars,15/12/1991,0,0,0
18366,FLOOD,Fars,10/12/1991,0,0,0
18365,FLOOD,Fars,10/12/1991,0,0,0
18364,FLOOD,Fars,10/12/1991,0,0,0
18363,FLOOD,Fars,03/10/1991,0,0,0
18362,FLOOD,Fars,02/10/1991,0,0,0
18361,FLOOD,Fars,10/09/1991,0,0,0
18360,FLOOD,Fars,28/03/1991,0,0,0
18359,FLOOD,Fars,09/03/1991,0,0,0
18358,FLOOD,Fars,24/01/1991,0,0,0
18357,FLOOD,Fars,05/04/1990,0,0,0
18356,FLOOD,Fars,05/04/1990,0,0,0
18355,FLOOD,Fars,06/12/1989,0,0,0
18354,FLOOD,Fars,06/12/1989,0,0,0
18353,FLOOD,Fars,23/08/1989,0,0,0
18352,FLOOD,Fars,23/08/1989,0,0,0
18351,FLOOD,Fars,18/07/1989,0,0,0
18350,FLOOD,Fars,17/07/1989,0,0,0
18349,FLOOD,Fars,06/10/1988,0,0,0
18348,FLOOD,Fars,14/09/1988,0,0,0
18347,FLOOD,Fars,09/07/1988,0,0,0
18346,FLOOD,Fars,28/04/1988,0,0,0
18345,FLOOD,Fars,04/04/1988,0,0,0
18344,FLOOD,Fars,20/08/1987,0,0,0
18343,FLOOD,Fars,20/08/1987,0,0,0
18342,FLOOD,Fars,10/08/1987,0,0,0
18341,FLOOD,Fars,28/07/1987,0,0,0
18340,FLOOD,Fars,22/06/1987,0,0,0
18339,FLOOD,Fars,10/03/1987,0,0,0
18338,FLOOD,Fars,18/12/1986,0,0,0
18337,FLOOD,Fars,18/12/1986,0,0,0
18336,FLOOD,Fars,18/12/1986,0,0,0
18335,FLOOD,Fars,07/12/1986,0,0,0
18334,FLOOD,Fars,07/12/1986,0,0,0
18333,FLOOD,Fars,06/12/1986,0,0,0
18332,FLOOD,Fars,04/12/1986,0,0,0
18331,FLOOD,Fars,04/12/1986,0,0,0
