Serial,Event,&quot;region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
130951,COLD WAVE,Central Region,30/12/2013,0,0,0
130950,COLD WAVE,Central Region,30/12/2013,0,0,0
130949,COLD WAVE,Central Region,30/12/2013,0,0,0
130948,FIRE,Eastern Region,30/12/2013,0,0,0
130947,COLD WAVE,Eastern Region,28/12/2013,0,0,0
130946,COLD WAVE,Eastern Region,28/12/2013,0,0,0
130945,COLD WAVE,Eastern Region,28/12/2013,0,0,0
130944,EPIDEMIC,Far Western Region,29/12/2013,0,0,0
130943,FIRE,Eastern Region,28/12/2013,0,0,0
130942,COLD WAVE,Eastern Region,28/12/2013,0,0,0
130941,COLD WAVE,Eastern Region,29/12/2013,0,0,0
130940,COLD WAVE,Eastern Region,28/12/2013,0,0,0
130939,COLD WAVE,Central Region,28/12/2013,0,0,0
130938,COLD WAVE,Central Region,28/12/2013,0,0,0
130937,COLD WAVE,Eastern Region,26/12/2013,0,0,0
130936,COLD WAVE,Eastern Region,24/12/2013,0,0,0
130935,ACCIDENT,Far Western Region,26/12/2013,0,0,0
130934,COLD WAVE,Western Region,28/12/2013,0,0,0
130933,FIRE,Eastern Region,27/12/2013,0,5,0
130932,FIRE,Central Region,27/12/2013,0,5,0
130931,COLD WAVE,Central Region,27/12/2013,0,0,0
130930,COLD WAVE,Central Region,27/12/2013,0,0,0
130929,FIRE,Central Region,26/12/2013,0,5,0
130928,FIRE,Eastern Region,26/12/2013,0,5,0
130927,FIRE,Eastern Region,26/12/2013,0,5,0
130926,FIRE,Central Region,25/12/2013,0,5,0
130925,FIRE,Eastern Region,23/12/2013,0,15,0
130924,FIRE,Far Western Region,22/12/2013,0,5,0
130923,ACCIDENT,Far Western Region,23/12/2013,0,0,0
130922,FIRE,Mid-Western Region,22/12/2013,0,5,0
130921,FIRE,Central Region,22/12/2013,0,15,0
130920,FIRE,Central Region,20/12/2013,0,5,0
130919,FIRE,Eastern Region,19/12/2013,0,0,0
130918,COLD WAVE,Central Region,17/12/2013,0,0,0
130917,STRONG WIND,Eastern Region,14/12/2013,0,220,0
130916,STRONG WIND,Eastern Region,15/12/2013,0,347,0
130915,FIRE,Mid-Western Region,14/12/2013,0,40,0
130914,FIRE,Eastern Region,13/12/2013,0,5,0
130913,ACCIDENT,Central Region,14/12/2013,0,0,0
130912,FIRE,Central Region,12/12/2013,0,15,0
130911,FIRE,Eastern Region,11/12/2013,0,50,0
130910,FIRE,Eastern Region,11/12/2013,0,5,0
130909,FIRE,Eastern Region,09/12/2013,0,5,0
130908,FIRE,Eastern Region,10/12/2013,0,30,0
120907,FIRE,Western Region,09/12/2013,0,5,0
130906,FIRE,Central Region,08/12/2013,0,5,0
130905,FIRE,Eastern Region,07/12/2013,0,5,0
130904,FIRE,Central Region,08/12/2013,0,5,0
130903,ACCIDENT,Central Region,07/12/2013,0,0,0
130902,FIRE,Eastern Region,07/12/2013,0,19,0
130901,ACCIDENT,Eastern Region,06/12/2013,0,0,0
130900,FIRE,Mid-Western Region,05/12/2013,0,102,0
130899,FIRE,Eastern Region,02/12/2013,0,5,0
130898,FIRE,Central Region,28/11/2013,0,10,0
130897,FIRE,Central Region,25/11/2013,0,5,0
130896,ACCIDENT,Central Region,25/11/2013,0,10,0
130895,ACCIDENT,Western Region,20/11/2013,0,0,0
130894,FIRE,Far Western Region,18/11/2013,0,0,0
130893,FIRE,Eastern Region,17/11/2013,0,50,0
130892,FIRE,Eastern Region,09/11/2013,0,5,0
130891,SNOW STORM,Mid-Western Region,10/11/2013,0,0,0
130890,ACCIDENT,Central Region,10/11/2013,0,0,0
130889,HAIL STORM,Western Region,10/11/2013,0,0,0
130888,FIRE,Central Region,09/11/2013,0,5,0
130887,ACCIDENT,Eastern Region,05/11/2013,0,0,0
130886,FIRE,Eastern Region,04/11/2013,0,117,0
130885,FIRE,Central Region,01/11/2013,0,5,0
130884,FIRE,Central Region,31/10/2013,0,0,0
130883,HAIL STORM,Eastern Region,28/10/2013,0,420,0
130882,HAIL STORM,Eastern Region,28/10/2013,0,0,0
130881,FIRE,Eastern Region,27/10/2013,0,5,0
130880,FIRE,Eastern Region,27/10/2013,0,30,0
130879,THUNDERSTORM,Eastern Region,26/10/2013,0,0,0
130878,ACCIDENT,Central Region,25/10/2013,0,0,0
130877,RAINS,Eastern Region,19/10/2013,0,0,0
130876,ACCIDENT,Western Region,18/10/2013,0,0,0
130875,FIRE,Central Region,16/10/2013,0,5,0
130874,ACCIDENT,Far Western Region,17/10/2013,0,0,0
130873,FIRE,Eastern Region,15/10/2013,0,8,0
130872,FIRE,Eastern Region,13/10/2013,0,93,0
130871,FIRE,Central Region,11/10/2013,0,5,0
130870,FIRE,Central Region,10/10/2013,0,5,0
130869,ACCIDENT,Eastern Region,10/10/2013,0,0,0
130868,THUNDERSTORM,Central Region,06/10/2013,0,0,0
130867,FIRE,Central Region,01/10/2013,0,5,0
130866,AVALANCHE,Western Region,29/09/2013,0,0,0
130865,THUNDERSTORM,Central Region,28/09/2013,0,0,0
130864,ACCIDENT,Far Western Region,28/09/2013,0,0,0
130863,ACCIDENT,Central Region,29/09/2013,0,0,0
130862,LANDSLIDE,Western Region,28/09/2013,0,0,0
130861,ACCIDENT,Western Region,27/09/2013,0,0,0
130860,THUNDERSTORM,Central Region,28/09/2013,0,0,0
130859,ACCIDENT,Western Region,26/09/2013,0,0,0
130858,ACCIDENT,Central Region,25/09/2013,0,0,0
130857,THUNDERSTORM,Central Region,26/09/2013,0,5,0
130856,ACCIDENT,Far Western Region,26/09/2013,0,0,0
130855,THUNDERSTORM,Central Region,23/09/2013,0,0,0
130854,THUNDERSTORM,Central Region,23/09/2013,0,0,0
130853,THUNDERSTORM,Central Region,23/09/2013,0,0,0
130852,THUNDERSTORM,Eastern Region,23/09/2013,0,0,0
130851,STRUCT.COLLAPSE,Mid-Western Region,23/09/2013,0,5,0
130850,ACCIDENT,Central Region,21/09/2013,0,0,0
130849,ACCIDENT,Central Region,20/09/2013,0,0,0
130848,ACCIDENT,Central Region,20/09/2013,0,0,0
130847,FIRE,Far Western Region,20/09/2013,0,9,0
130846,ACCIDENT,Eastern Region,19/09/2013,0,0,0
130845,ACCIDENT,Western Region,18/09/2013,0,0,0
130844,FIRE,Central Region,18/09/2013,0,0,0
130843,FIRE,Eastern Region,18/09/2013,0,0,0
130842,FIRE,Far Western Region,15/09/2013,0,117,0
130841,ACCIDENT,Eastern Region,14/09/2013,0,0,0
130840,ACCIDENT,Central Region,14/09/2013,0,0,0
130839,ACCIDENT,Central Region,14/09/2013,0,0,0
130838,LANDSLIDE,Eastern Region,12/09/2013,0,0,0
139837,ACCIDENT,Western Region,12/09/2013,0,0,0
130836,EARTHQUAKE,Eastern Region,12/09/2013,0,0,0
130835,FLOOD,Eastern Region,12/09/2013,0,97,0
130834,LANDSLIDE,Central Region,09/09/2013,0,0,0
130833,LANDSLIDE,Central Region,09/09/2013,0,0,0
130832,FIRE,Eastern Region,09/09/2013,0,5,0
130831,ACCIDENT,Mid-Western Region,08/09/2013,0,0,0
130830,STRUCT.COLLAPSE,Far Western Region,07/09/2013,0,5,0
130829,ACCIDENT,Central Region,07/09/2013,0,0,0
130828,FLOOD,Eastern Region,07/09/2013,0,30,0
130827,LANDSLIDE,Eastern Region,06/09/2013,0,65,0
130826,LANDSLIDE,Central Region,06/09/2013,0,0,0
130825,FLOOD,Eastern Region,05/09/2013,0,14,0
130824,ACCIDENT,Central Region,06/09/2013,0,0,0
130823,LANDSLIDE,Western Region,05/09/2013,0,0,0
130822,LANDSLIDE,Western Region,05/09/2013,0,0,0
130821,LANDSLIDE,Western Region,05/09/2013,0,5,0
130820,STRUCT.COLLAPSE,Central Region,04/09/2013,0,0,0
130819,STRUCT.COLLAPSE,Central Region,04/09/2013,0,5,0
130818,STRUCT.COLLAPSE,Central Region,04/09/2013,0,5,0
130817,BOAT CAPSIZE,Mid-Western Region,04/09/2013,0,0,0
130816,THUNDERSTORM,Mid-Western Region,03/09/2013,0,25,0
130815,LANDSLIDE,Mid-Western Region,03/09/2013,0,6,0
130814,FLOOD,Central Region,02/09/2013,0,48,0
130813,FLOOD,Eastern Region,03/09/2013,0,0,0
130812,LANDSLIDE,Western Region,02/09/2013,0,25,0
130811,LANDSLIDE,Western Region,02/09/2013,0,25,0
130810,FIRE,Central Region,03/09/2013,0,10,0
130809,FLOOD,Eastern Region,02/09/2013,0,92,0
130808,FLOOD,Eastern Region,02/09/2013,0,0,0
130807,THUNDERSTORM,Central Region,02/09/2013,0,5,0
130806,EPIDEMIC,Mid-Western Region,02/09/2013,0,0,0
130805,THUNDERSTORM,Central Region,02/09/2013,0,0,0
130804,FLOOD,Eastern Region,02/09/2013,0,42,0
130803,ACCIDENT,Central Region,01/09/2013,0,0,0
130802,THUNDERSTORM,Central Region,02/09/2013,0,0,0
130801,LANDSLIDE,Mid-Western Region,31/08/2013,0,0,0
130800,FIRE,Central Region,01/09/2013,0,5,0
130799,ACCIDENT,Central Region,01/09/2013,0,0,0
130798,THUNDERSTORM,Central Region,01/09/2013,0,0,0
130797,THUNDERSTORM,Far Western Region,31/08/2013,0,0,0
130796,ACCIDENT,Mid-Western Region,31/08/2013,0,0,0
130795,ACCIDENT,Eastern Region,28/08/2013,0,0,0
130794,EARTHQUAKE,Central Region,30/08/2013,0,5,0
130793,ACCIDENT,Far Western Region,30/08/2013,0,0,0
130792,FIRE,Central Region,30/08/2013,0,0,0
130791,ACCIDENT,Eastern Region,30/08/2013,0,0,0
130790,LANDSLIDE,Mid-Western Region,29/08/2013,0,37,0
130789,FIRE,Central Region,29/08/2013,0,0,0
130788,ACCIDENT,Mid-Western Region,27/08/2013,0,0,0
130787,LANDSLIDE,Western Region,27/08/2013,0,0,0
130786,ACCIDENT,Central Region,27/08/2013,0,0,0
130785,ACCIDENT,Central Region,24/08/2013,0,0,0
130784,FIRE,Central Region,24/08/2013,0,0,0
130783,ACCIDENT,Central Region,24/08/2013,0,0,0
130782,ACCIDENT,Central Region,23/08/2013,0,0,0
130781,ACCIDENT,Central Region,22/08/2013,0,0,0
130780,ACCIDENT,Eastern Region,21/08/2013,0,0,0
130779,LANDSLIDE,Mid-Western Region,20/08/2013,0,0,0
130778,LANDSLIDE,Mid-Western Region,19/08/2013,0,68,0
130777,LANDSLIDE,Mid-Western Region,19/08/2013,0,0,0
130776,ACCIDENT,Eastern Region,19/08/2013,0,0,0
130775,LANDSLIDE,Mid-Western Region,18/08/2013,0,54,0
130774,FIRE,Eastern Region,17/08/2013,0,5,0
130773,LANDSLIDE,Mid-Western Region,18/08/2013,0,0,0
130772,ACCIDENT,Western Region,17/08/2013,0,0,0
130771,FLOOD,Far Western Region,17/08/2013,0,0,0
130770,LANDSLIDE,Eastern Region,16/08/2013,0,10,0
130769,LANDSLIDE,Mid-Western Region,17/08/2013,0,20,0
130768,ACCIDENT,Western Region,16/08/2013,0,0,0
130767,THUNDERSTORM,Central Region,16/08/2013,0,10,0
130766,ACCIDENT,Central Region,15/08/2013,0,0,0
130765,THUNDERSTORM,Eastern Region,15/08/2013,0,0,0
130764,LANDSLIDE,Eastern Region,15/08/2013,0,5,0
130763,LANDSLIDE,Mid-Western Region,14/08/2013,0,0,0
130762,THUNDERSTORM,Eastern Region,13/08/2013,0,0,0
130761,THUNDERSTORM,Mid-Western Region,13/08/2013,0,0,0
130760,LANDSLIDE,Mid-Western Region,14/08/2013,0,5,0
130759,ACCIDENT,Eastern Region,14/08/2013,0,0,0
130758,FLOOD,Eastern Region,13/08/2013,0,0,0
130757,THUNDERSTORM,Western Region,13/08/2013,0,0,0
130756,LANDSLIDE,Western Region,13/08/2013,0,878,0
130755,FIRE,Eastern Region,13/08/2013,0,23,0
130754,FLOOD,Far Western Region,12/08/2013,0,68,0
130753,FLOOD,Far Western Region,12/08/2013,0,5,0
130752,LANDSLIDE,Central Region,13/08/2013,0,45,0
130751,FLOOD,Western Region,12/08/2013,0,0,0
130750,LANDSLIDE,Mid-Western Region,12/08/2013,0,20,0
130749,STRUCT.COLLAPSE,Western Region,12/08/2013,0,0,0
130748,FIRE,Central Region,12/08/2013,0,5,0
130747,FIRE,Central Region,11/08/2013,0,0,0
130746,ACCIDENT,Central Region,11/08/2013,0,0,0
130745,LANDSLIDE,Western Region,09/08/2013,0,5,0
130744,LANDSLIDE,Western Region,09/08/2013,0,20,0
130743,LANDSLIDE,Mid-Western Region,09/08/2013,0,0,0
130742,FLOOD,Far Western Region,08/08/2013,0,0,0
130741,LANDSLIDE,Mid-Western Region,09/08/2013,0,0,0
130740,THUNDERSTORM,Western Region,06/08/2013,0,1415,0
130739,THUNDERSTORM,Mid-Western Region,05/08/2013,0,0,0
130738,THUNDERSTORM,Eastern Region,04/08/2013,0,0,0
130737,LANDSLIDE,Eastern Region,05/08/2013,0,15,0
130736,BOAT CAPSIZE,Eastern Region,05/08/2013,0,0,0
130735,FLOOD,Central Region,05/08/2013,0,0,0
130734,THUNDERSTORM,Central Region,04/08/2013,0,0,0
130733,LANDSLIDE,Western Region,04/08/2013,0,0,0
130732,FIRE,Western Region,02/08/2013,0,5,0
130731,THUNDERSTORM,Central Region,02/08/2013,0,0,0
130730,THUNDERSTORM,Central Region,02/08/2013,0,0,0
130729,STRUCT.COLLAPSE,Central Region,02/08/2013,0,10,0
130728,THUNDERSTORM,Western Region,01/08/2013,0,0,0
130727,FIRE,Eastern Region,01/08/2013,0,20,0
130726,FIRE,Central Region,31/07/2013,0,5,0
130725,THUNDERSTORM,Eastern Region,31/07/2013,0,5,0
130724,LANDSLIDE,Central Region,30/07/2013,0,4,0
130723,FLOOD,Central Region,30/07/2013,0,0,0
130722,THUNDERSTORM,Central Region,29/07/2013,0,0,0
130721,ACCIDENT,Eastern Region,29/07/2013,0,0,0
130720,THUNDERSTORM,Central Region,30/07/2013,0,0,0
130719,FIRE,Eastern Region,28/07/2013,0,5,0
130718,ACCIDENT,Western Region,29/07/2013,0,0,0
130717,ACCIDENT,Western Region,29/07/2013,0,0,0
130716,FIRE,Central Region,29/07/2013,0,0,0
130715,ACCIDENT,Western Region,28/07/2013,0,0,0
130714,LANDSLIDE,Mid-Western Region,27/07/2013,0,10,0
130713,FLOOD,Eastern Region,27/07/2013,0,0,0
130712,ACCIDENT,Central Region,27/07/2013,0,0,0
130711,THUNDERSTORM,Mid-Western Region,26/07/2013,0,0,0
130710,LANDSLIDE,Eastern Region,26/07/2013,0,0,0
130709,FIRE,Central Region,26/07/2013,0,5,0
130708,FLOOD,Mid-Western Region,26/07/2013,0,146,0
130707,FLOOD,Mid-Western Region,26/07/2013,0,244,0
130706,FLOOD,Central Region,25/07/2013,0,2196,0
130705,ACCIDENT,Far Western Region,26/07/2013,0,0,0
130704,LANDSLIDE,Mid-Western Region,26/07/2013,0,0,0
130703,FIRE,Central Region,24/07/2013,0,5,0
130702,LANDSLIDE,Central Region,25/07/2013,0,64,0
130701,LANDSLIDE,Western Region,24/07/2013,0,0,0
130700,ACCIDENT,Western Region,25/07/2013,0,0,0
130699,ACCIDENT,Central Region,25/07/2013,0,0,0
130698,LANDSLIDE,Western Region,25/07/2013,0,0,0
130697,LANDSLIDE,Mid-Western Region,24/07/2013,0,500,0
130696,STRUCT.COLLAPSE,Mid-Western Region,24/07/2013,0,5,0
130695,LANDSLIDE,Western Region,24/07/2013,0,0,0
130694,FIRE,Central Region,23/07/2013,0,5,0
130693,LANDSLIDE,Western Region,22/07/2013,0,15,0
130692,LANDSLIDE,Western Region,22/07/2013,0,10,0
130691,LANDSLIDE,Western Region,22/07/2013,0,5,0
130690,ACCIDENT,Western Region,22/07/2013,0,0,0
130689,THUNDERSTORM,Western Region,22/07/2013,0,5,0
130688,FLOOD,Mid-Western Region,22/07/2013,0,15,0
130688,STRUCT.COLLAPSE,Central Region,22/07/2013,0,5,0
130687,FLOOD,Mid-Western Region,22/07/2013,0,14,0
130685,FLOOD,Mid-Western Region,22/07/2013,0,59,0
130684,FLOOD,Mid-Western Region,22/07/2013,0,68,0
130683,FLOOD,Mid-Western Region,22/07/2013,0,132,0
130682,FLOOD,Mid-Western Region,22/07/2013,0,220,0
130681,FLOOD,Mid-Western Region,22/07/2013,0,0,0
130680,LANDSLIDE,Central Region,22/07/2013,0,498,0
130679,LANDSLIDE,Western Region,22/07/2013,0,0,0
130678,LANDSLIDE,Western Region,22/07/2013,0,0,0
130677,LANDSLIDE,Western Region,22/07/2013,0,5,0
130676,LANDSLIDE,Western Region,22/07/2013,0,5,0
130675,LANDSLIDE,Western Region,22/07/2013,0,0,0
130674,FLOOD,Western Region,22/07/2013,0,229,0
130673,FLOOD,Western Region,22/07/2013,0,488,0
130672,LANDSLIDE,Western Region,22/07/2013,0,35,0
130671,LANDSLIDE,Western Region,22/07/2013,0,0,0
130670,LANDSLIDE,Mid-Western Region,21/07/2013,0,0,0
130669,LANDSLIDE,Mid-Western Region,20/07/2013,0,30,0
130668,FLOOD,Eastern Region,21/07/2013,0,244,0
130667,STRUCT.COLLAPSE,Far Western Region,19/07/2013,0,15,0
130666,LANDSLIDE,Western Region,19/07/2013,0,0,0
130665,FLOOD,Far Western Region,19/07/2013,0,0,0
130664,FLOOD,Far Western Region,19/07/2013,0,195,0
130663,FLOOD,Far Western Region,19/07/2013,0,1464,0
