"Event Year","Event ID","Country","Peril","Loss (USD)","Loss Type"
1,1,"Bangladesh","Cyclone",144557.839019766,"Occurrence"
2,2,"Bangladesh","Cyclone",7259928.7845483,"Occurrence"
2,3,"Bangladesh","Cyclone",1017271.24067483,"Occurrence"
3,4,"Bangladesh","Cyclone",120886.305958716,"Occurrence"
3,5,"Bangladesh","Cyclone",4351.86529020133,"Occurrence"
4,6,"Bangladesh","Cyclone",3629115.90131838,"Occurrence"
5,7,"Bangladesh","Cyclone",295227750.555419,"Occurrence"
5,8,"Bangladesh","Cyclone",10474681.8416045,"Occurrence"
6,9,"Bangladesh","Cyclone",323955.431524059,"Occurrence"
7,10,"Bangladesh","Cyclone",12404271.9739285,"Occurrence"
7,11,"Bangladesh","Cyclone",287345501.023354,"Occurrence"
7,12,"Bangladesh","Cyclone",414.468678900656,"Occurrence"
8,13,"Bangladesh","Cyclone",430077.126069881,"Occurrence"
8,14,"Bangladesh","Cyclone",4732777.47717305,"Occurrence"
8,15,"Bangladesh","Cyclone",28443.5072074489,"Occurrence"
8,16,"Bangladesh","Cyclone",189305.83221949,"Occurrence"
8,17,"Bangladesh","Cyclone",555.957624572678,"Occurrence"
8,18,"Bangladesh","Cyclone",94206.8666684392,"Occurrence"
11,19,"Bangladesh","Cyclone",61992671.6751639,"Occurrence"
11,20,"Bangladesh","Cyclone",8267.44536678799,"Occurrence"
12,21,"Bangladesh","Cyclone",6743.45481777611,"Occurrence"
12,22,"Bangladesh","Cyclone",3992349.55798565,"Occurrence"
13,23,"Bangladesh","Cyclone",1971806.01715612,"Occurrence"
13,24,"Bangladesh","Cyclone",116700358.502961,"Occurrence"
13,25,"Bangladesh","Cyclone",382555840.025173,"Occurrence"
13,26,"Bangladesh","Cyclone",30375.7239793424,"Occurrence"
14,27,"Bangladesh","Cyclone",1633542.21698479,"Occurrence"
14,28,"Bangladesh","Cyclone",154882.095553433,"Occurrence"
14,29,"Bangladesh","Cyclone",60056.5976409553,"Occurrence"
15,30,"Bangladesh","Cyclone",1638767.48093424,"Occurrence"
16,31,"Bangladesh","Cyclone",397807.080708201,"Occurrence"
16,32,"Bangladesh","Cyclone",16342.155177371,"Occurrence"
17,33,"Bangladesh","Cyclone",562951081.989277,"Occurrence"
17,34,"Bangladesh","Cyclone",470674.197289498,"Occurrence"
17,35,"Bangladesh","Cyclone",3716965.17448362,"Occurrence"
18,36,"Bangladesh","Cyclone",2039770.56232483,"Occurrence"
19,37,"Bangladesh","Cyclone",12148.2773990279,"Occurrence"
21,38,"Bangladesh","Cyclone",1361706.92744683,"Occurrence"
21,39,"Bangladesh","Cyclone",10335185.9561653,"Occurrence"
22,40,"Bangladesh","Cyclone",58514.4392094666,"Occurrence"
23,41,"Bangladesh","Cyclone",18193.2290837875,"Occurrence"
23,42,"Bangladesh","Cyclone",165810.52610436,"Occurrence"
23,43,"Bangladesh","Cyclone",139848.926689776,"Occurrence"
23,44,"Bangladesh","Cyclone",16901.9523164792,"Occurrence"
23,45,"Bangladesh","Cyclone",135779071.147173,"Occurrence"
24,46,"Bangladesh","Cyclone",455139.78468428,"Occurrence"
24,47,"Bangladesh","Cyclone",290631.916100802,"Occurrence"
24,48,"Bangladesh","Cyclone",3208855.55100437,"Occurrence"
25,49,"Bangladesh","Cyclone",356777.21094617,"Occurrence"
26,50,"Bangladesh","Cyclone",82943674.031004,"Occurrence"
27,51,"Bangladesh","Cyclone",415304.232981061,"Occurrence"
28,52,"Bangladesh","Cyclone",1580321.52091944,"Occurrence"
28,53,"Bangladesh","Cyclone",57400.4471544797,"Occurrence"
28,54,"Bangladesh","Cyclone",1106.73555910256,"Occurrence"
28,55,"Bangladesh","Cyclone",27500.6744084999,"Occurrence"
29,56,"Bangladesh","Cyclone",97814.6785753486,"Occurrence"
29,57,"Bangladesh","Cyclone",26217.8028414202,"Occurrence"
30,58,"Bangladesh","Cyclone",1402168.70142982,"Occurrence"
30,59,"Bangladesh","Cyclone",663.252502832507,"Occurrence"
30,60,"Bangladesh","Cyclone",1020352.33573185,"Occurrence"
31,61,"Bangladesh","Cyclone",51206.2977964566,"Occurrence"
31,62,"Bangladesh","Cyclone",580177.073397438,"Occurrence"
32,63,"Bangladesh","Cyclone",221653674.710681,"Occurrence"
32,64,"Bangladesh","Cyclone",8458.01109035092,"Occurrence"
33,65,"Bangladesh","Cyclone",9796.24287186555,"Occurrence"
33,66,"Bangladesh","Cyclone",1970935.57411703,"Occurrence"
33,67,"Bangladesh","Cyclone",799244.91150712,"Occurrence"
