Country,Year,GDP
Afghanistan,2002,4055179566
Afghanistan,2003,4515558808
Afghanistan,2004,5226778809
Afghanistan,2005,6209137625
Afghanistan,2006,6971285595
Afghanistan,2007,9747879532
Afghanistan,2008,10109225814
Afghanistan,2009,12439087077
Afghanistan,2010,15856574731
Afghanistan,2011,17804292964
Afghanistan,2012,20001598506
Afghanistan,2013,20561069558
Afghanistan,2014,20484885120
Afghanistan,2015,19907111419
Afghanistan,2016,19362642267
Afghanistan,2017,20191760000
Afghanistan,2018,19484384937
Afghanistan,2019,19101353833
Angola,2002,15285594828
Angola,2003,17812705294
Angola,2004,23552052408
Angola,2005,3.70E+10
Angola,2006,5.24E+10
Angola,2007,6.53E+10
Angola,2008,8.85E+10
Angola,2009,7.03E+10
Angola,2010,8.38E+10
Angola,2011,1.12E+11
Angola,2012,1.28E+11
Angola,2013,1.37E+11
Angola,2014,1.46E+11
Angola,2015,1.16E+11
Angola,2016,1.01E+11
Angola,2017,1.22E+11
Angola,2018,1.01E+11
Angola,2019,9.46E+10
Azerbaijan,2002,6235856820
Azerbaijan,2003,7.28E+09
Azerbaijan,2004,8.68E+09
Azerbaijan,2005,1.32E+10
Azerbaijan,2006,2.10E+10
Azerbaijan,2007,3.31E+10
Azerbaijan,2008,4.89E+10
Azerbaijan,2009,4.43E+10
Azerbaijan,2010,5.29E+10
Azerbaijan,2011,6.60E+10
Azerbaijan,2012,6.97E+10
Azerbaijan,2013,7.42E+10
Azerbaijan,2014,7.52E+10
Azerbaijan,2015,5.31E+10
Azerbaijan,2016,3.79E+10
Azerbaijan,2017,4.09E+10
Azerbaijan,2018,4.71E+10
Azerbaijan,2019,48047647059
Bangladesh,2002,54724081491
Bangladesh,2003,60158929188
Bangladesh,2004,65108544250
Bangladesh,2005,69442943089
Bangladesh,2006,71819083684
Bangladesh,2007,7.96E+10
Bangladesh,2008,9.16E+10
Bangladesh,2009,1.02E+11
Bangladesh,2010,1.15E+11
Bangladesh,2011,1.29E+11
Bangladesh,2012,1.33356E+11
Bangladesh,2013,1.4999E+11
Bangladesh,2014,1.73E+11
Bangladesh,2015,1.95E+11
Bangladesh,2016,2.21E+11
Bangladesh,2017,2.50E+11
Bangladesh,2018,2.74E+11
Bangladesh,2019,3.03E+11
Bulgaria,2002,1.64E+10
Bulgaria,2003,2.11E+10
Bulgaria,2004,2.62E+10
