Archetype,Year,Peril Type,Total Affected
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2004,Earthquake,37891.26922
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2004,Flood,80252.56401
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2004,Storm,506685.7808
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2005,Flood,1769.020132
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2005,Storm,235664.3131
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2006,Flood,10751.68452
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2006,Storm,1606398.013
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2007,Flood,93905.20654
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2007,Storm,9734.141541
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2008,Flood,350091.7294
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2008,Storm,3738316.239
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2009,Flood,40770.37081
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2009,Storm,903469.2928
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2010,Flood,741238.3563
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2010,Storm,3168622.189
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2011,Earthquake,178.3884778
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2011,Flood,492969.2771
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2011,Storm,5561744.536
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2012,Flood,1274748.67
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2012,Storm,1162185.837
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2013,Earthquake,12.33319696
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2013,Flood,977330.098
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2013,Storm,4170680.217
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2014,Earthquake,153004.2754
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2014,Flood,1999274.582
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2014,Storm,3275556.663
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2015,Earthquake,1373134.66
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2015,Flood,1917796.556
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2015,Storm,7646989.283
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2016,Flood,60844.78357
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2016,Storm,5479083.87
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2017,Flood,95435.88725
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2017,Storm,1487885.788
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2018,Earthquake,82.04951746
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2018,Flood,1041093.832
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2018,Storm,1206985.771
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2019,Earthquake,23974.8
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2019,Flood,733600
"Very high risk middle income country, exposed to storms, floods, and earthquakes",2019,Storm,344
"Upper-middle income country, exposed to storms, floods, and earthquakes",2004,Flood,3465.615396
"Upper-middle income country, exposed to storms, floods, and earthquakes",2004,Storm,252262.1447
"Upper-middle income country, exposed to storms, floods, and earthquakes",2005,Earthquake,87348.73334
"Upper-middle income country, exposed to storms, floods, and earthquakes",2005,Flood,26336.22778
"Upper-middle income country, exposed to storms, floods, and earthquakes",2005,Storm,4401.597958
"Upper-middle income country, exposed to storms, floods, and earthquakes",2006,Flood,1974.947592
"Upper-middle income country, exposed to storms, floods, and earthquakes",2007,Flood,6668.184259
"Upper-middle income country, exposed to storms, floods, and earthquakes",2007,Storm,1414403.329
"Upper-middle income country, exposed to storms, floods, and earthquakes",2008,Flood,0
"Upper-middle income country, exposed to storms, floods, and earthquakes",2008,Storm,127036.6755
"Upper-middle income country, exposed to storms, floods, and earthquakes",2009,Flood,764562.7725
"Upper-middle income country, exposed to storms, floods, and earthquakes",2009,Storm,93780.20714
"Upper-middle income country, exposed to storms, floods, and earthquakes",2010,Flood,9091.039462
"Upper-middle income country, exposed to storms, floods, and earthquakes",2010,Storm,227275.9865
"Upper-middle income country, exposed to storms, floods, and earthquakes",2011,Flood,62703.95335
"Upper-middle income country, exposed to storms, floods, and earthquakes",2011,Storm,50097.32049
"Upper-middle income country, exposed to storms, floods, and earthquakes",2012,Earthquake,11111.7295
"Upper-middle income country, exposed to storms, floods, and earthquakes",2012,Flood,449190.0796
"Upper-middle income country, exposed to storms, floods, and earthquakes",2012,Storm,244445.2779
"Upper-middle income country, exposed to storms, floods, and earthquakes",2013,Earthquake,65.94264209
"Upper-middle income country, exposed to storms, floods, and earthquakes",2013,Flood,208239.9224
"Upper-middle income country, exposed to storms, floods, and earthquakes",2013,Storm,238803.4693
"Upper-middle income country, exposed to storms, floods, and earthquakes",2014,Earthquake,20956.70435
"Upper-middle income country, exposed to storms, floods, and earthquakes",2014,Storm,37200.49128
"Upper-middle income country, exposed to storms, floods, and earthquakes",2015,Flood,0
"Upper-middle income country, exposed to storms, floods, and earthquakes",2015,Storm,72520.86387
"Upper-middle income country, exposed to storms, floods, and earthquakes",2016,Earthquake,11388.07455
"Upper-middle income country, exposed to storms, floods, and earthquakes",2016,Storm,59947.41335
"Upper-middle income country, exposed to storms, floods, and earthquakes",2017,Flood,1231.189375
"Upper-middle income country, exposed to storms, floods, and earthquakes",2017,Storm,7711.759846
"Upper-middle income country, exposed to storms, floods, and earthquakes",2018,Flood,21469.70777
"Upper-middle income country, exposed to storms, floods, and earthquakes",2018,Storm,8709.409756
"Upper-middle income country, exposed to storms, floods, and earthquakes",2019,Earthquake,80
"Upper-middle income country, exposed to storms, floods, and earthquakes",2019,Storm,360
Drought-prone low income country,2005,Drought,7291780.587
Drought-prone low income country,2007,Drought,1422643.432
Drought-prone low income country,2010,Drought,3230032.665
Drought-prone low income country,2011,Drought,3047351.674
Drought-prone low income country,2013,Drought,2240567.806
Drought-prone low income country,2014,Drought,454142.1522
Drought-prone low income country,2017,Drought,4287689.572
"Low income country, exposed to storms, floods, and earthquakes",2004,Earthquake,98.30583667
"Low income country, exposed to storms, floods, and earthquakes",2004,Flood,20648280.82
"Low income country, exposed to storms, floods, and earthquakes",2004,Storm,7495.820046
