Serial,Event,&quot;Province&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2302,FOREST FIRE,Xayaboury,2010/0/0,0,0,0
2300,FLOOD,Xayaboury,17/04/2010,0,38,0
2299,FIRE,Xayaboury,07/07/2010,0,7,0
2298,RAINS,Xayaboury,04/08/2010,0,11,0
2297,FIRE,Xayaboury,26/03/2010,0,4,0
2295,FIRE,Xayaboury,16/02/2010,0,14,0
2296,FIRE,Xayaboury,01/02/2010,0,11,0
2295,FLOOD,Xayaboury,16/02/2010,0,14,0
2294,STORM,Xayaboury,08/05/2010,0,36,0
2293,FLOOD,Xayaboury,20/11/2011,0,4,0
2292,FIRE,Xayaboury,20/03/2010,0,8,0
2291,FIRE,Xayaboury,25/03/2010,0,6,0
2289,STORM,Xayaboury,11/04/2011,0,15,0
2290,FIRE,Xayaboury,15/04/2011,0,8,0
2289,STORM,Xayaboury,11/04/2011,0,15,0
2288,FIRE,Xayaboury,12/05/2011,0,5,0
2286,FIRE,Xayaboury,06/07/2011,0,3,0
2286,FIRE,Xayaboury,06/07/2011,0,3,0
2285,FIRE,Xayaboury,28/03/2011,0,23,0
2284,FIRE,Xayaboury,06/03/2011,0,8,0
2283,FIRE,Xayaboury,24/03/2011,0,4,0
2281,FIRE,Xayaboury,23/03/2011,0,23,0
2281,FLOOD,Xayaboury,23/03/2011,0,23,0
2279,FIRE,Bokeo,31/05/2011,0,7,0
2278,FIRE,Bokeo,28/05/2011,0,11,0
2278,FIRE,Bokeo,28/05/2011,0,7,0
2277,FIRE,Bokeo,11/05/2011,0,16,0
2275,FIRE,Bokeo,23/07/2011,0,6,0
2276,FIRE,Bokeo,01/09/2012,0,6,0
2275,FIRE,Bokeo,23/07/2011,0,6,0
2274,FIRE,Bokeo,15/05/2011,0,8,0
2273,FLASH FLOOD,Bokeo,08/08/2011,0,92,0
2272,FIRE,Bokeo,30/08/2011,0,4,0
2272,FIRE,Bokeo,30/08/2011,0,4,0
2271,FIRE,Bokeo,22/11/2011,0,23,0
2270,FLOOD,Sekong,16/04/2011,0,5,0
2269,FIRE,Sekong,13/04/2011,0,9,0
2267,STORM,Sekong,22/04/2011,0,0,0
2267,FLOOD,Sekong,22/04/2011,0,0,0
2266,FLOOD,Sekong,15/04/2011,0,7,0
2265,FIRE,Sekong,24/04/2011,0,9,0
2264,FLOOD,Sekong,25/02/2011,0,16,0
2261,FIRE,Sekong,26/03/2011,0,9,0
2261,FLOOD,Sekong,26/03/2011,0,9,0
2260,FIRE,Sekong,01/04/2011,0,27,0
2259,FIRE,Sekong,02/04/2011,0,8,0
2258,FIRE,Sekong,28/02/2011,0,8,0
2256,FIRE,Sekong,01/09/2012,0,8,0
2255,FLOOD,Sekong,23/03/2011,0,12,0
2254,FIRE,Sekong,08/03/2011,0,7,0
2252,FLOOD,Luang Prabang,15/04/2011,0,9,0
2251,FIRE,Luang Prabang,07/03/2011,0,5,0
2250,FIRE,Luang Prabang,15/10/2011,0,7,0
2249,FIRE,Luang Prabang,10/05/2011,0,5,0
2248,FIRE,Luang Prabang,03/05/2011,0,0,0
2247,FLOOD,Luang Prabang,12/03/2011,0,7,0
2246,FLOOD,Luang Prabang,25/04/2011,0,8,0
2245,FLOOD,Luang Prabang,05/04/2011,0,5,0
2244,FIRE,Luang Prabang,29/03/2011,0,10,0
2243,FIRE,Luang Prabang,06/02/2011,0,4,0
2242,FIRE,Luang Prabang,21/04/2011,0,5,0
2241,STORM,Luang Prabang,09/03/2011,0,6,0
2240,FIRE,Luang Prabang,14/05/2011,0,7,0
2239,FIRE,Luang Prabang,15/02/2011,0,5,0
2238,STORM,Luang Prabang,16/04/2011,0,6,0
2237,STORM,Luang Prabang,16/04/2011,0,3,0
2236,STORM,Luang Prabang,16/04/2011,0,10,0
2235,STORM,Luang Prabang,05/05/2011,0,429,0
2234,FLOOD,Vientiane,04/05/2011,0,5,0
2233,FIRE,Vientiane,10/03/2011,0,6,0
2233,FIRE,Vientiane,10/03/2011,0,6,0
2232,FIRE,Vientiane,01/09/2012,0,0,0
2231,FIRE,Vientiane,07/01/2011,0,6,0
2230,FIRE,Vientiane,28/02/2011,0,8,0
2229,FIRE,Vientiane,04/05/2011,0,4,0
2228,FIRE,Vientiane,17/04/2011,0,18,0
2227,FIRE,Vientiane,30/04/2010,0,6,0
2226,FIRE,Vientiane,04/01/2010,0,7,0
2225,FIRE,Vientiane,18/02/2010,0,1,0
2224,FIRE,Vientiane,22/11/2010,0,5,0
2222,RAINS,Luang Prabang,18/09/2009,0,11,0
2221,FIRE,Luang Prabang,03/09/2009,0,4,0
2220,FIRE,Luang Prabang,02/09/2009,0,6,0
2219,FLOOD,Luang Prabang,02/08/2009,0,5,0
2218,FIRE,Luang Prabang,31/08/2009,0,4,0
2217,FIRE,Luang Prabang,17/09/2009,0,7,0
2216,FIRE,Luang Prabang,01/08/2009,0,6,0
2215,FIRE,Luang Prabang,01/09/2009,0,3,0
2214,FIRE,Luang Prabang,05/02/2010,0,0,0
2213,FIRE,Luang Prabang,29/09/2009,0,0,0
2212,FIRE,Luang Prabang,15/07/2009,0,5,0
2211,FIRE,Luang Prabang,02/07/2009,0,3,0
2210,FIRE,Luang Prabang,17/05/2009,0,12,0
2210,FIRE,Luang Prabang,17/05/2009,0,12,0
2209,FLOOD,Luang Prabang,23/06/2009,0,10,0
2208,FLOOD,Luang Prabang,19/04/2009,0,11,0
2207,FIRE,Luangnamtha,08/05/2009,0,8,0
2206,FIRE,Luangnamtha,09/01/2009,0,6,0
2205,FIRE,Luangnamtha,21/03/2009,0,5,0
2204,FIRE,Luangnamtha,2009/2/29,0,7,0
2203,FIRE,Luangnamtha,04/05/2009,0,8,0
2202,FIRE,Luangnamtha,30/08/2012,0,3,0
2201,FIRE,Luangnamtha,04/06/2009,0,5,0
2200,FIRE,Luangnamtha,23/05/2009,0,17,0
2199,FIRE,Luangnamtha,23/03/2009,0,8,0
2198,FIRE,Luangnamtha,10/03/2009,0,7,0
2197,FIRE,Luangnamtha,22/02/2009,0,3,0
2196,FIRE,Luangnamtha,09/03/2009,0,25,0
2195,FIRE,Luangnamtha,16/03/2009,0,6,0
2194,FIRE,Luangnamtha,20/04/2009,0,4,0
2193,FIRE,Luangnamtha,11/03/2009,0,17,0
2192,FIRE,Luangnamtha,17/03/2009,0,4,0
2189,FIRE,Luang Prabang,29/08/2012,0,7,0
2188,FIRE,Luang Prabang,09/01/2008,0,11,0
2187,FIRE,Luang Prabang,15/07/2008,0,15,0
2186,STORM,Luang Prabang,2012/5/0,0,37,0
2185,FIRE,Luang Prabang,24/01/2012,0,12,0
2184,FIRE,Luang Prabang,28/04/2008,0,6,0
2183,STORM,Luang Prabang,03/12/2007,0,16,0
2182,STORM,Luang Prabang,14/08/2008,0,38,0
2181,STORM,Luang Prabang,15/03/2008,0,167,0
2180,FLOOD,Luang Prabang,06/08/2012,0,0,0
2179,FLOOD,Luang Prabang,06/08/2008,0,24,0
2178,FLOOD,Luang Prabang,06/08/2008,0,167,0
2177,FLOOD,Luang Prabang,05/08/2008,0,176,0
2176,FLOOD,Luang Prabang,06/08/2008,0,176,0
2174,FLOOD,Borikhamxay,16/08/2008,0,5681,0
2174,FLOOD,Borikhamxay,16/08/2008,0,5681,0
2172,FIRE,Oudomxay,29/08/2012,0,57,0
2171,FLOOD,Oudomxay,03/04/2008,0,53,0
2170,FIRE,Oudomxay,17/03/2008,0,1,0
2168,FLOOD,Oudomxay,16/03/2008,0,11,0
2167,FLOOD,Oudomxay,19/04/2008,0,133,0
2166,FIRE,Oudomxay,16/10/2006,0,5,0
2165,FIRE,Oudomxay,02/12/2008,0,6,0
2164,FIRE,Oudomxay,05/02/2006,0,5,0
2163,FIRE,Oudomxay,15/11/2006,0,6,0
2162,FIRE,Oudomxay,28/08/2006,0,7,0
2160,FIRE,Oudomxay,02/07/2006,0,20,0
2159,FIRE,Oudomxay,21/11/2006,0,163,0
2157,FIRE,Oudomxay,08/11/2006,0,9,0
2158,FIRE,Oudomxay,16/11/2006,0,7,0
2157,FIRE,Oudomxay,08/11/2006,0,9,0
2156,FIRE,Oudomxay,04/08/2006,0,12,0
2155,FIRE,Oudomxay,05/08/2006,0,5,0
2154,FIRE,Oudomxay,20/08/2006,0,10,0
2153,FIRE,Oudomxay,28/08/2006,0,10,0
2152,FLOOD,Oudomxay,29/09/2006,0,8,0
2151,FIRE,Oudomxay,17/08/2006,0,8,0
2150,FIRE,Oudomxay,27/08/2006,0,7,0
2149,FIRE,Oudomxay,03/06/2006,0,9,0
2148,FIRE,Oudomxay,16/05/2006,0,5,0
2147,FIRE,Vientiane,13/10/2006,0,12,0
2146,FLOOD,Vientiane,19/10/2006,0,3,0
2145,FIRE,Vientiane,06/06/2006,0,0,0
2144,FIRE,Vientiane,16/11/2006,0,6,0
2143,FIRE,Xaysomboun SR,12/10/2006,0,4,0
2142,FLOOD,Phongsaly,18/11/2006,0,32,0
2141,FIRE,Borikhamxay,25/11/2006,0,20,0
2140,STORM,Attapeu,08/09/2012,0,14,0
2139,FIRE,Attapeu,25/07/2008,0,6,0
2138,FLOOD,Attapeu,16/06/2008,0,0,0
2137,STORM,Attapeu,16/06/2008,0,0,0
2136,FIRE,Attapeu,23/04/2008,0,4,0
2135,FIRE,Attapeu,26/02/2008,0,5,0
2134,FIRE,Attapeu,15/04/2008,0,9,0
2133,FIRE,Attapeu,25/03/2008,0,7,0
2132,FIRE,Attapeu,03/05/2008,0,5,0
2131,FLOOD,Attapeu,08/05/2007,0,3,0
2130,FIRE,Attapeu,25/03/2008,0,4,0
2129,FIRE,Attapeu,19/04/2008,0,4,0
2128,FLOOD,Attapeu,22/03/2008,0,8,0
2127,STORM,Attapeu,27/04/2008,0,5,0
2126,STORM,Attapeu,13/01/2008,0,6,0
2125,FIRE,Attapeu,30/03/2008,0,5,0
2124,FLOOD,Attapeu,20/02/2008,0,3,0
