id,Country,Year,Type of event,Sum of Total affected,Sum of Total Damage
2001-0233-AFG,Afghanistan,2001,Earthquake,270,0
2002-0122-AFG,Afghanistan,2002,Earthquake,3513,0
2002-0175-AFG,Afghanistan,2002,Earthquake,91228,0
2002-0208-AFG,Afghanistan,2002,Earthquake,6150,0
2002-0185-AFG,Afghanistan,2002,Flood,120,0
2002-0196-AFG,Afghanistan,2002,Flood,4225,0
2002-0242-AFG,Afghanistan,2002,Flood,1200,0
2002-0613-AFG,Afghanistan,2002,Flood,0,0
2003-0236-AFG,Afghanistan,2003,Earthquake,1001,0
2003-0104-AFG,Afghanistan,2003,Flood,0,0
2003-0143-AFG,Afghanistan,2003,Flood,2000,0
2003-0179-AFG,Afghanistan,2003,Flood,1000,0
2003-0256-AFG,Afghanistan,2003,Flood,400,0
2003-0302-AFG,Afghanistan,2003,Flood,100,0
2003-0337-AFG,Afghanistan,2003,Flood,250,0
2003-0392-AFG,Afghanistan,2003,Flood,3,0
2003-0778-AFG,Afghanistan,2003,Flood,0,0
2004-0436-AFG,Afghanistan,2004,Earthquake,1040,0
2004-0022-AFG,Afghanistan,2004,Flood,2500,0
2004-0349-AFG,Afghanistan,2004,Flood,2000,0
2005-0575-AFG,Afghanistan,2005,Earthquake,0,50
2005-0686-AFG,Afghanistan,2005,Earthquake,501,0
2005-0101-AFG,Afghanistan,2005,Flood,1500,0
2005-0169-AFG,Afghanistan,2005,Flood,11003,0
2005-0281-AFG,Afghanistan,2005,Flood,500,0
2005-0322-AFG,Afghanistan,2005,Flood,5040,0
2005-0360-AFG,Afghanistan,2005,Flood,0,0
2005-0511-AFG,Afghanistan,2005,Flood,0,0
2005-0725-AFG,Afghanistan,2005,Flood,150,0
2005-0736-AFG,Afghanistan,2005,Flood,125,0
2005-0044-AFG,Afghanistan,2005,Cyclone,22656,5000
2006-9570-AFG,Afghanistan,2006,Drought,1900000,0
2006-0405-AFG,Afghanistan,2006,Earthquake,935,0
2006-0221-AFG,Afghanistan,2006,Flood,5025,0
2006-0271-AFG,Afghanistan,2006,Flood,615,0
2006-0291-AFG,Afghanistan,2006,Flood,1735,0
2006-0365-AFG,Afghanistan,2006,Flood,0,0
2006-0416-AFG,Afghanistan,2006,Flood,8000,0
2006-0424-AFG,Afghanistan,2006,Flood,20,0
2006-0596-AFG,Afghanistan,2006,Flood,17580,0
2006-0029-AFG,Afghanistan,2006,Cyclone,0,0
2006-0068-AFG,Afghanistan,2006,Cyclone,0,0
2007-0105-AFG,Afghanistan,2007,Flood,20000,0
2007-0178-AFG,Afghanistan,2007,Flood,2950,0
2007-0185-AFG,Afghanistan,2007,Flood,645,0
2007-0192-AFG,Afghanistan,2007,Flood,0,0
2007-0248-AFG,Afghanistan,2007,Flood,4000,0
2007-0316-AFG,Afghanistan,2007,Flood,2500,0
2007-0672-AFG,Afghanistan,2007,Flood,160,0
2008-9475-AFG,Afghanistan,2008,Drought,280000,0
2008-0488-AFG,Afghanistan,2008,Flood,1180,0
2009-0156-AFG,Afghanistan,2009,Earthquake,3309,0
2009-0139-AFG,Afghanistan,2009,Flood,2500,0
2009-0168-AFG,Afghanistan,2009,Flood,60016,20000
2009-0385-AFG,Afghanistan,2009,Flood,0,0
2010-0669-AFG,Afghanistan,2010,Earthquake,1070,0
2010-0176-AFG,Afghanistan,2010,Flood,40000,0
2010-0367-AFG,Afghanistan,2010,Flood,5000,0
2011-9312-AFG,Afghanistan,2011,Drought,1750000,142000
2011-0042-AFG,Afghanistan,2011,Flood,3065,0
2011-0632-AFG,Afghanistan,2011,Flood,9745,0
2011-0642-AFG,Afghanistan,2011,Cyclone,5,0
2012-0164-AFG,Afghanistan,2012,Earthquake,3548,0
2012-0102-AFG,Afghanistan,2012,Flood,230,0
2012-0143-AFG,Afghanistan,2012,Flood,27769,0
