Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
1312,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1311,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1310,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1309,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1308,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1307,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1306,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1305,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1304,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1303,EPIDEMIC,DJIBOUTI,2009/5/0,0,0,0
1302,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1301,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1300,EPIDEMIC,DJIBOUTI,2009/3/0,0,0,0
1299,EPIDEMIC,DJIBOUTI,2009/3/0,0,0,0
1298,EPIDEMIC,DJIBOUTI,2009/2/0,0,0,0
1297,EPIDEMIC,DJIBOUTI,2009/2/0,0,0,0
1296,EPIDEMIC,DJIBOUTI,2009/2/0,0,0,0
1295,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1294,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1293,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1292,EPIDEMIC,DJIBOUTI,2009/3/0,0,0,0
1291,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1290,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1289,EPIDEMIC,DJIBOUTI,2006/12/0,0,0,0
1288,EPIDEMIC,DJIBOUTI,2006/10/0,0,0,0
1287,EPIDEMIC,DJIBOUTI,2006/3/0,0,0,0
1286,EPIDEMIC,DJIBOUTI,2011/12/0,0,0,0
1285,EPIDEMIC,DJIBOUTI,2011/12/0,0,0,0
1284,EPIDEMIC,DJIBOUTI,2011/11/0,0,0,0
1283,EPIDEMIC,DJIBOUTI,2011/11/0,0,0,0
1282,EPIDEMIC,DJIBOUTI,2011/10/0,0,0,0
1281,EPIDEMIC,DJIBOUTI,2011/9/0,0,0,0
1280,EPIDEMIC,DJIBOUTI,2011/4/0,0,0,0
1279,EPIDEMIC,DJIBOUTI,2011/3/0,0,0,0
1278,EPIDEMIC,DJIBOUTI,2010/11/0,0,0,0
1277,EPIDEMIC,DJIBOUTI,2010/11/0,0,0,0
1276,EPIDEMIC,DJIBOUTI,2010/10/0,0,0,0
1275,EPIDEMIC,DJIBOUTI,2010/9/0,0,0,0
1274,EPIDEMIC,DJIBOUTI,2010/9/0,0,0,0
1273,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1272,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1271,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1270,EPIDEMIC,DJIBOUTI,2010/5/0,0,0,0
1269,EPIDEMIC,DJIBOUTI,2010/3/0,0,0,0
1268,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1267,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1266,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1265,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1264,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1263,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1262,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1261,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1260,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1259,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1258,EPIDEMIC,DJIBOUTI,2009/12/0,0,0,0
1257,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1256,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1255,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1254,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1253,EPIDEMIC,DJIBOUTI,2009/8/0,0,0,0
1252,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1251,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1250,EPIDEMIC,DJIBOUTI,2009/3/0,0,0,0
1249,EPIDEMIC,DJIBOUTI,2009/2/0,0,0,0
1248,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1247,EPIDEMIC,DJIBOUTI,2009/1/0,0,0,0
1246,EPIDEMIC,DJIBOUTI,2011/12/0,0,0,0
1245,EPIDEMIC,DJIBOUTI,2011/11/0,0,0,0
1244,EPIDEMIC,DJIBOUTI,2011/6/0,0,0,0
1243,EPIDEMIC,DJIBOUTI,2011/3/0,0,0,0
1242,EPIDEMIC,DJIBOUTI,2010/12/0,0,0,0
1241,EPIDEMIC,DJIBOUTI,2010/11/0,0,0,0
1240,EPIDEMIC,DJIBOUTI,2010/11/0,0,0,0
1239,EPIDEMIC,DJIBOUTI,2010/10/0,0,0,0
1238,EPIDEMIC,DJIBOUTI,2010/9/0,0,0,0
1237,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1236,EPIDEMIC,DJIBOUTI,2007/10/0,0,0,0
1235,EPIDEMIC,DJIBOUTI,2007/7/0,0,0,0
1234,EPIDEMIC,DJIBOUTI,2007/6/0,0,0,0
1233,EPIDEMIC,DJIBOUTI,2007/2/0,0,0,0
1232,EPIDEMIC,DJIBOUTI,2007/1/0,0,0,0
1231,EPIDEMIC,DJIBOUTI,2010/12/0,0,0,0
1230,EPIDEMIC,DJIBOUTI,2010/11/0,0,0,0
1229,EPIDEMIC,DJIBOUTI,2010/10/0,0,0,0
1228,EPIDEMIC,DJIBOUTI,2010/10/0,0,0,0
1227,EPIDEMIC,DJIBOUTI,2010/9/0,0,0,0
1226,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1225,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1224,EPIDEMIC,DJIBOUTI,2010/8/0,0,0,0
1223,EPIDEMIC,DJIBOUTI,2010/7/0,0,0,0
1222,EPIDEMIC,DJIBOUTI,2010/4/0,0,0,0
1221,EPIDEMIC,DJIBOUTI,2010/3/0,0,0,0
1220,EPIDEMIC,DJIBOUTI,2010/2/0,0,0,0
1219,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
