Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
29842,DROUGHT,Oromiya,01/05/2020,0,0,0
29841,DROUGHT,Oromiya,01/05/2020,0,0,0
29840,DROUGHT,Oromiya,01/05/2020,0,0,0
29839,DROUGHT,Oromiya,01/05/2020,0,0,0
29837,DROUGHT,Oromiya,01/04/2020,0,0,0
29836,DROUGHT,Oromiya,01/04/2020,0,0,0
29835,DROUGHT,Oromiya,01/04/2020,0,0,0
29834,DROUGHT,Oromiya,01/04/2020,0,0,0
29833,DROUGHT,Oromiya,01/04/2020,0,0,0
29832,DROUGHT,Oromiya,01/04/2020,0,0,0
29831,DROUGHT,Oromiya,01/04/2020,0,0,0
29830,DROUGHT,Oromiya,01/04/2020,0,0,0
29829,FLOOD,Dire Dawa,20/04/2020,0,0,0
29828,OTHER,Tigray,2020/6/0,0,0,0
29827,OTHER,Tigray,2020/6/0,0,0,0
29826,OTHER,Tigray,2020/6/0,0,0,0
29825,OTHER,Tigray,2020/6/0,0,0,0
29824,OTHER,Tigray,2020/6/0,0,0,0
29823,OTHER,Tigray,2020/6/0,0,0,0
29822,Livestock Disease Outbreak,Amhara,10/06/2020,0,0,0
29821,Livestock Disease Outbreak,Amhara,08/06/2020,0,0,0
29820,Livestock Disease Outbreak,Afar,27/05/2020,0,0,0
29819,Livestock Disease Outbreak,Afar,01/06/2020,0,0,0
29818,Livestock Disease Outbreak,Afar,01/06/2020,0,0,0
29817,Livestock Disease Outbreak,Tigray,26/05/2020,0,0,0
29816,Livestock Disease Outbreak,Somali,03/05/2020,0,0,0
29815,Livestock Disease Outbreak,Somali,06/05/2020,0,0,0
29814,Livestock Disease Outbreak,Somali,12/05/2020,0,0,0
29813,Livestock Disease Outbreak,Somali,10/05/2020,0,0,0
29812,Livestock Disease Outbreak,Somali,25/05/2020,0,0,0
29811,Livestock Disease Outbreak,Somali,04/05/2020,0,0,0
29810,Livestock Disease Outbreak,Somali,01/05/2020,0,0,0
29809,Livestock Disease Outbreak,Somali,15/05/2020,0,0,0
29808,Livestock Disease Outbreak,Somali,13/05/2020,0,0,0
29807,Livestock Disease Outbreak,Somali,02/05/2020,0,0,0
29806,Livestock Disease Outbreak,Somali,01/05/2020,0,0,0
29805,Livestock Disease Outbreak,Somali,10/05/2020,0,0,0
29804,Livestock Disease Outbreak,Somali,12/05/2020,0,0,0
29803,Livestock Disease Outbreak,Somali,25/04/2020,0,0,0
29802,Livestock Disease Outbreak,Somali,10/05/2020,0,0,0
29801,Livestock Disease Outbreak,Somali,24/05/2020,0,0,0
29800,Livestock Disease Outbreak,SNNPR,18/05/2020,0,0,0
29799,Livestock Disease Outbreak,SNNPR,10/05/2020,0,0,0
29798,Livestock Disease Outbreak,SNNPR,19/05/2020,0,0,0
29797,Livestock Disease Outbreak,SNNPR,19/05/2020,0,0,0
29796,Livestock Disease Outbreak,Oromiya,03/05/2020,0,0,0
29795,Livestock Disease Outbreak,Oromiya,01/05/2020,0,0,0
29794,Livestock Disease Outbreak,Oromiya,11/05/2020,0,0,0
29793,Livestock Disease Outbreak,Oromiya,13/05/2020,0,0,0
29792,Livestock Disease Outbreak,Benishangul Gumz,14/05/2020,0,0,0
29791,Livestock Disease Outbreak,Amhara,24/05/2020,0,0,0
29790,Livestock Disease Outbreak,Amhara,21/05/2020,0,0,0
29789,Livestock Disease Outbreak,Amhara,15/05/2020,0,0,0
29788,Livestock Disease Outbreak,Amhara,02/05/2020,0,0,0
29787,Livestock Disease Outbreak,Amhara,06/05/2020,0,0,0
29786,Livestock Disease Outbreak,Afar,02/04/2020,0,0,0
29785,Livestock Disease Outbreak,Tigray,02/04/2020,0,0,0
29784,Livestock Disease Outbreak,Somali,01/04/2020,0,0,0
29783,Livestock Disease Outbreak,Somali,12/04/2020,0,0,0
29782,Livestock Disease Outbreak,Somali,19/04/2020,0,0,0
29781,Livestock Disease Outbreak,Somali,18/04/2020,0,0,0
29780,Livestock Disease Outbreak,Somali,12/04/2020,0,0,0
29779,Livestock Disease Outbreak,Somali,23/04/2020,0,0,0
29778,Livestock Disease Outbreak,Somali,15/04/2020,0,0,0
29777,Livestock Disease Outbreak,Somali,08/04/2020,0,0,0
29776,Livestock Disease Outbreak,Somali,18/04/2020,0,0,0
29775,Livestock Disease Outbreak,SNNPR,11/03/2020,0,0,0
29774,Livestock Disease Outbreak,SNNPR,04/04/2020,0,0,0
29773,Livestock Disease Outbreak,Oromiya,15/04/2020,0,0,0
29772,Livestock Disease Outbreak,Oromiya,07/04/2020,0,0,0
29771,Livestock Disease Outbreak,Oromiya,16/04/2020,0,0,0
29770,Livestock Disease Outbreak,Oromiya,17/04/2020,0,0,0
29769,Livestock Disease Outbreak,Oromiya,13/04/2020,0,0,0
29768,Livestock Disease Outbreak,Oromiya,28/03/2020,0,0,0
29767,Livestock Disease Outbreak,Oromiya,11/05/2020,0,0,0
29766,Livestock Disease Outbreak,Oromiya,08/04/2020,0,0,0
29765,Livestock Disease Outbreak,Oromiya,06/04/2020,0,0,0
29764,Livestock Disease Outbreak,Amhara,18/04/2020,0,0,0
29763,Livestock Disease Outbreak,Afar,07/01/2020,0,0,0
29762,Livestock Disease Outbreak,Afar,20/04/2020,0,0,0
29761,Livestock Disease Outbreak,Tigray,24/03/2020,0,0,0
29760,Livestock Disease Outbreak,Tigray,29/02/2020,0,0,0
29759,Livestock Disease Outbreak,Tigray,19/03/2020,0,0,0
29758,Livestock Disease Outbreak,Tigray,30/10/2020,0,0,0
29757,Livestock Disease Outbreak,Somali,25/03/2020,0,0,0
29756,Livestock Disease Outbreak,Somali,07/03/2020,0,0,0
29755,Livestock Disease Outbreak,Somali,03/03/2020,0,0,0
29754,Livestock Disease Outbreak,Somali,25/03/2020,0,0,0
29753,Livestock Disease Outbreak,Somali,18/03/2020,0,0,0
29752,Livestock Disease Outbreak,Somali,15/03/2020,0,0,0
29751,Livestock Disease Outbreak,Somali,20/03/2020,0,0,0
29750,Livestock Disease Outbreak,Somali,10/03/2020,0,0,0
29749,Livestock Disease Outbreak,Somali,20/03/2020,0,0,0
29748,Livestock Disease Outbreak,Somali,20/03/2020,0,0,0
29747,Livestock Disease Outbreak,Somali,05/03/2020,0,0,0
29746,Livestock Disease Outbreak,Somali,03/03/2020,0,0,0
29745,Livestock Disease Outbreak,SNNPR,20/03/2020,0,0,0
29744,Livestock Disease Outbreak,SNNPR,26/03/2020,0,0,0
29743,Livestock Disease Outbreak,SNNPR,11/03/2020,0,0,0
29742,Livestock Disease Outbreak,SNNPR,20/03/2020,0,0,0
29741,Livestock Disease Outbreak,Oromiya,17/03/2020,0,0,0
29740,Livestock Disease Outbreak,Oromiya,06/03/2020,0,0,0
