Serial,Event,&quot;County&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
31067,ROAD ACCIDENT,NYERI,21/11/2022,0,0,0
31066,ROAD ACCIDENT,NYERI,21/11/2022,0,0,0
31065,DROWNING,MAKUENI,21/11/2022,0,0,0
31064,ROAD ACCIDENT,NAIROBI,20/11/2022,0,0,0
31063,DROWNING,MACHAKOS,20/11/2022,0,0,0
31062,WINDSTORM,KIAMBU,11/11/2022,0,0,0
31061,ROAD ACCIDENT,KIAMBU,20/12/2022,0,0,0
31060,FIRE,MAKUENI,17/11/2022,0,0,0
31049,WINDSTORM,ISIOLO,17/11/2022,0,0,0
31048,WINDSTORM,MOMBASA,16/11/2022,0,0,0
31047,WINDSTORM,NAIROBI,16/11/2022,0,0,0
31045,ROAD ACCIDENT,KISII,14/11/2022,0,0,0
31044,FIRE,NAIROBI,14/11/2022,0,0,0
31043,ROAD ACCIDENT,LAIKIPIA,15/11/2022,0,0,0
31042,ROAD ACCIDENT,NYERI,15/11/2022,0,0,0
31041,DROWNING,SAMBURU,15/11/2022,0,0,0
31040,DROWNING,BUSIA,15/11/2022,0,0,0
31039,ROAD ACCIDENT,NAIROBI,15/11/2022,0,0,0
31038,STRUCTURAL COLLAPSE,NAIROBI,15/11/2022,0,0,0
31037,FIRE,SIAYA,13/11/2022,0,0,0
31036,FIRE,NAIROBI,13/11/2022,0,0,0
31035,FIRE,MANDERA,12/11/2022,0,0,0
31034,FIRE,KAJIADO,12/11/2022,0,0,0
31033,WINDSTORM,BUSIA,11/11/2022,0,0,0
31032,FIRE,NYERI,11/11/2022,0,0,0
31031,FIRE,MANDERA,11/11/2022,0,0,0
31030,FIRE,NAIROBI,10/11/2022,0,0,0
31029,FIRE,KIAMBU,10/11/2022,0,0,0
31028,DROWNING,KAKAMEGA,09/11/2022,0,0,0
31027,FIRE,KISUMU,08/11/2022,0,0,0
31026,DROWNING,KIRINYAGA,09/11/2022,0,0,0
31025,ROAD ACCIDENT,NAIROBI,08/11/2022,0,0,0
31024,FIRE,BOMET,08/11/2022,0,0,0
31023,DROWNING,UASIN-GISHU,08/11/2022,0,0,0
31022,DROWNING,MANDERA,08/11/2022,0,0,0
31021,FIRE,SIAYA,08/11/2022,0,0,0
31020,DROWNING,KIAMBU,08/11/2022,0,0,0
31018,ROAD ACCIDENT,NAROK,08/11/2022,0,0,0
31017,DROWNING,NAROK,08/11/2022,0,0,0
31016,ROAD ACCIDENT,NAIROBI,07/11/2022,0,0,0
31015,DROWNING,KAJIADO,06/11/2022,0,0,0
31014,ROAD ACCIDENT,KERICHO,06/11/2022,0,0,0
31013,ROAD ACCIDENT,NAIROBI,06/11/2022,0,0,0
31012,ROAD ACCIDENT,KIAMBU,06/11/2022,0,0,0
31011,DROWNING,EMBU,06/11/2022,0,0,0
31010,ROAD ACCIDENT,KIRINYAGA,06/11/2022,0,0,0
31009,ROAD ACCIDENT,MURANGA,06/11/2022,0,0,0
31008,ROAD ACCIDENT,MURANGA,06/11/2022,0,0,0
31007,ROAD ACCIDENT,NYAMIRA,05/11/2022,0,0,0
31006,ROAD ACCIDENT,KIAMBU,05/11/2022,0,0,0
31005,ROAD ACCIDENT,KAJIADO,05/11/2022,0,0,0
31004,ROAD ACCIDENT,NYANDARUA,05/11/2022,0,0,0
31003,DROWNING,MACHAKOS,05/11/2022,0,0,0
31002,ROAD ACCIDENT,MAKUENI,05/11/2022,0,0,0
31001,DROWNING,MAKUENI,05/11/2022,0,0,0
31000,FIRE,KWALE,06/11/2022,0,0,0
30999,ROAD ACCIDENT,BUSIA,05/11/2022,0,0,0
30998,DROWNING,KIRINYAGA,05/11/2022,0,0,0
30997,ROAD ACCIDENT,MERU,05/11/2022,0,0,0
30996,ROAD ACCIDENT,NAIROBI,06/11/2022,0,0,0
30995,FIRE,NAIROBI,06/11/2022,0,0,0
30994,ROAD ACCIDENT,NAIROBI,05/11/2022,0,0,0
30993,ROAD ACCIDENT,KAKAMEGA,04/11/2022,0,0,0
30992,DROWNING,NYANDARUA,04/11/2022,0,0,0
30991,DROWNING,NYANDARUA,04/11/2022,0,0,0
30990,DROWNING,TRANS-NZOIA,04/11/2022,0,0,0
30989,ROAD ACCIDENT,NAIROBI,04/11/2022,0,0,0
30988,DROWNING,HOMABAY,04/11/2022,0,0,0
30987,FIRE,KERICHO,06/11/2022,0,0,0
30986,ROAD ACCIDENT,NAIROBI,05/11/2022,0,0,0
30985,ROAD ACCIDENT,MURANGA,05/11/2022,0,0,0
30984,DROWNING,MARSABIT,05/11/2022,0,0,0
30983,ELECTROCUTION,KIAMBU,05/11/2022,0,0,0
30982,ROAD ACCIDENT,NAKURU,05/11/2022,0,0,0
30981,ROAD ACCIDENT,EMBU,05/11/2022,0,0,0
30979,ROAD ACCIDENT,EMBU,05/11/2022,0,0,0
30978,DROWNING,KAKAMEGA,05/11/2022,0,0,0
30977,DROWNING,MERU,04/11/2022,0,0,0
30976,ROAD ACCIDENT,MOMBASA,04/11/2022,0,0,0
30975,ROAD ACCIDENT,BUSIA,04/11/2022,0,0,0
30974,DROWNING,HOMABAY,04/11/2022,0,0,0
30973,DROWNING,NAKURU,04/11/2022,0,0,0
30972,ROAD ACCIDENT,WEST POKOT,03/11/2022,0,0,0
30971,ROAD ACCIDENT,MOMBASA,03/11/2022,0,0,0
30970,FIRE,TRANS-NZOIA,03/11/2022,0,0,0
30969,ROAD ACCIDENT,KILIFI,03/11/2022,0,0,0
30968,DROWNING,BUNGOMA,03/11/2022,0,0,0
30967,ROAD ACCIDENT,KERICHO,03/11/2022,0,0,0
30966,ROAD ACCIDENT,KAKAMEGA,03/11/2022,0,0,0
30964,ROAD ACCIDENT,KIAMBU,01/11/2022,0,0,0
30963,DROWNING,KILIFI,01/11/2022,0,0,0
30962,ROAD ACCIDENT,KILIFI,01/11/2022,0,0,0
30961,ROAD ACCIDENT,MERU,01/11/2022,0,0,0
30960,FIRE,MERU,01/11/2022,0,0,0
30959,FIRE,MERU,01/11/2022,0,0,0
30958,ROAD ACCIDENT,NAIROBI,01/11/2022,0,0,0
30957,ROAD ACCIDENT,BOMET,01/11/2022,0,0,0
30956,ROAD ACCIDENT,KISUMU,01/11/2022,0,0,0
30955,ROAD ACCIDENT,KAJIADO,01/11/2022,0,0,0
30954,ROAD ACCIDENT,KAJIADO,01/11/2022,0,0,0
30952,ROAD ACCIDENT,KISII,01/11/2022,0,0,0
30951,ROAD ACCIDENT,KISII,01/11/2022,0,0,0
30950,ROAD ACCIDENT,NYANDARUA,01/11/2022,0,0,0
30950,ROAD ACCIDENT,NYANDARUA,01/11/2022,0,0,0
30950,ROAD ACCIDENT,NYANDARUA,01/11/2022,0,0,0
30949,ROAD ACCIDENT,NYANDARUA,01/11/2022,0,0,0
30948,ROAD ACCIDENT,MERU,30/10/2022,0,0,0
30947,FIRE,MACHAKOS,30/10/2022,0,0,0
30946,FIRE,NAIROBI,30/10/2022,0,0,0
30945,FIRE,NYAMIRA,30/10/2022,0,0,0
30944,FIRE,KAKAMEGA,29/10/2022,0,0,0
30943,FIRE,NAKURU,29/10/2022,0,0,0
30942,DROWNING,KAKAMEGA,29/10/2022,0,0,0
30941,FIRE,KIAMBU,28/10/2022,0,0,0
30940,FIRE,NAKURU,28/10/2022,0,0,0
30939,FIRE,KWALE,28/10/2022,0,0,0
30938,FIRE,MERU,28/10/2022,0,0,0
30937,FIRE,MERU,28/10/2022,0,0,0
30936,FIRE,MERU,28/10/2022,0,0,0
30935,FIRE,KAKAMEGA,28/10/2022,0,0,0
30934,FIRE,NAIROBI,28/10/2022,0,0,0
30933,ROAD ACCIDENT,KIAMBU,27/10/2022,0,0,0
30932,DROWNING,KIAMBU,27/10/2022,0,0,0
30931,FIRE,HOMABAY,27/10/2022,0,0,0
30930,ROAD ACCIDENT,NAIROBI,27/10/2022,0,0,0
30929,FIRE,MERU,27/10/2022,0,0,0
30928,WINDSTORM,BOMET,27/10/2022,0,0,0
30927,ROAD ACCIDENT,UASIN-GISHU,26/10/2022,0,0,0
30926,ROAD ACCIDENT,NAIROBI,26/10/2022,0,0,0
30925,ROAD ACCIDENT,NAIROBI,26/10/2022,0,0,0
30924,ROAD ACCIDENT,NAIROBI,26/10/2022,0,0,0
30923,ROAD ACCIDENT,NAIROBI,26/10/2022,0,0,0
30922,FIRE,TURKANA,25/10/2022,0,0,0
30921,DROWNING,KIAMBU,25/10/2022,0,0,0
30920,ROAD ACCIDENT,KIAMBU,25/10/2022,0,0,0
30919,ROAD ACCIDENT,KIAMBU,25/10/2022,0,0,0
30918,ROAD ACCIDENT,KIAMBU,25/10/2022,0,0,0
30917,FIRE,NAIROBI,25/10/2022,0,0,0
30916,DROWNING,NAIROBI,25/10/2022,0,0,0
30915,DROWNING,TANA-RIVER,25/10/2022,0,0,0
30914,ROAD ACCIDENT,HOMABAY,22/10/2022,0,0,0
30913,ROAD ACCIDENT,KAKAMEGA,23/10/2022,0,0,0
