Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2747,CYCLONES,VATOVAVY FITOVINANY,03/07/2018,576,0,0
2746,CYCLONES,VATOVAVY FITOVINANY,03/07/2018,0,0,0
2745,CYCLONES,SOFIA,03/07/2018,80,0,0
2744,CYCLONES,SOFIA,03/07/2018,296,0,0
2743,CYCLONES,SAVA,03/07/2018,11227,0,0
2742,CYCLONES,DIANA,03/07/2018,1648,0,0
2741,CYCLONES,DIANA,03/07/2018,0,0,0
2740,CYCLONES,DIANA,03/07/2018,7336,0,0
2739,CYCLONES,DIANA,03/07/2018,539,0,0
2738,CYCLONES,ATSINANANA,03/07/2018,320,0,0
2737,CYCLONES,ATSINANANA,03/07/2018,5874,0,0
2736,CYCLONES,ANALANJIROFO,03/07/2018,1193,0,0
2735,CYCLONES,ANALANJIROFO,03/07/2018,2411,0,0
2734,CYCLONES,ANALANJIROFO,03/07/2018,80,0,0
2733,CYCLONES,ANALANJIROFO,03/07/2018,17246,0,0
2732,CYCLONES,ANALANJIROFO,03/07/2018,0,0,0
2731,CYCLONES,ANALANJIROFO,03/07/2018,1064,0,0
2730,CYCLONES,ANALAMANGA,03/07/2018,0,0,0
2729,CYCLONES,ALAOTRA MANGORO,03/07/2018,857,0,0
2728,CYCLONES,ALAOTRA MANGORO,03/07/2018,125,0,0
2727,CYCLONES,ALAOTRA MANGORO,03/07/2018,0,0,0
2726,CYCLONES,ALAOTRA MANGORO,03/07/2018,0,0,0
2725,CYCLONES,ITASY,02/07/2018,0,0,0
2724,CYCLONES,BONGOLAVA,02/07/2018,0,0,0
2723,CYCLONES,BONGOLAVA,02/07/2018,0,0,0
2721,CYCLONES,BETSIBOKA,02/07/2018,0,0,0
2720,CYCLONES,MELAKY,02/07/2018,1980,0,0
2719,CYCLONES,ANOSY,02/07/2018,0,0,0
2718,CYCLONES,ATSIMO ATSINANANA,02/07/2018,480,0,0
2717,CYCLONES,ATSIMO ATSINANANA,02/07/2018,530,0,0
2716,CYCLONES,ATSIMO ATSINANANA,02/07/2018,0,0,0
2715,CYCLONES,ATSIMO ATSINANANA,02/07/2018,7921,0,0
2714,CYCLONES,ATSIMO ATSINANANA,02/07/2018,64,0,0
2713,CYCLONES,HAUTE MATSIATRA,02/07/2018,1000,0,0
2712,CYCLONES,HAUTE MATSIATRA,02/07/2018,0,0,0
2711,CYCLONES,HAUTE MATSIATRA,02/07/2018,60,0,0
2710,CYCLONES,BOENY,02/07/2018,5271,0,0
2709,CYCLONES,BOENY,02/07/2018,10181,0,0
2708,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,25730,0,0
2707,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,40,0,0
2706,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,7977,0,0
2705,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,800,0,0
2704,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,1530,0,0
2703,CYCLONES,VATOVAVY FITOVINANY,02/07/2018,6578,0,0
2702,CYCLONES,VAKINANKARATRA,02/07/2018,0,0,0
2701,CYCLONES,VAKINANKARATRA,02/07/2018,0,0,0
2699,CYCLONES,VAKINANKARATRA,02/07/2018,0,0,0
2698,CYCLONES,VAKINANKARATRA,02/07/2018,0,0,0
2697,CYCLONES,VAKINANKARATRA,02/07/2018,0,0,0
2696,CYCLONES,SOFIA,02/07/2018,250,0,0
2695,CYCLONES,SOFIA,02/07/2018,230,0,0
2694,CYCLONES,SOFIA,02/07/2018,4399,0,0
2693,CYCLONES,SOFIA,02/07/2018,650,0,0
2692,CYCLONES,MENABE,02/07/2018,7530,0,0
2691,CYCLONES,DIANA,02/07/2018,2391,0,0
2688,CYCLONES,ATSINANANA,02/07/2018,500,0,0
2687,CYCLONES,ATSINANANA,02/07/2018,8445,0,0
2686,CYCLONES,ATSINANANA,02/07/2018,18253,0,0
2685,CYCLONES,ATSINANANA,02/07/2018,0,0,0
2684,CYCLONES,ATSINANANA,02/07/2018,141,0,0
2683,CYCLONES,ATSINANANA,02/07/2018,4726,0,0
2763,FLOOD,SOFIA,02/02/2016,18304,0,0
2682,CYCLONES,ATSINANANA,02/07/2018,612,0,0
2680,CYCLONES,ANALANJIROFO,02/07/2018,150,0,0
2679,CYCLONES,ANALANJIROFO,02/07/2018,570,0,0
2678,CYCLONES,ANALANJIROFO,02/07/2018,0,0,0
2677,CYCLONES,ANALANJIROFO,02/07/2018,0,0,0
2676,CYCLONES,ANALANJIROFO,02/07/2018,82,0,0
2751,CYCLONES,VAKINANKARATRA,18/07/2018,0,0,0
2750,CYCLONES,ANALAMANGA,18/07/2018,10666,0,0
2666,CYCLONES,ANALAMANGA,29/06/2018,0,0,0
2665,CYCLONES,ANALAMANGA,29/06/2018,2076,0,0
2664,CYCLONES,ANALAMANGA,29/06/2018,27045,0,0
2663,CYCLONES,ANALAMANGA,29/06/2018,0,0,0
2662,CYCLONES,ANALAMANGA,29/06/2018,0,0,0
2661,CYCLONES,ANALAMANGA,29/06/2018,0,0,0
2660,CYCLONES,ANALAMANGA,29/06/2018,849,0,0
2659,CYCLONES,AMORON I MANIA,29/06/2018,0,0,0
2762,FLOOD,BOENY,02/02/2016,4146,0,0
2658,CYCLONES,AMORON I MANIA,29/06/2018,68,0,0
2656,CYCLONES,AMORON I MANIA,29/06/2018,0,0,0
2655,CYCLONES,AMORON I MANIA,29/06/2018,78,0,0
2654,CYCLONES,ALAOTRA MANGORO,29/06/2018,995,0,0
2652,CYCLONES,ALAOTRA MANGORO,29/06/2018,0,0,0
2651,CYCLONES,ALAOTRA MANGORO,29/06/2018,0,0,0
2650,CYCLONES,ALAOTRA MANGORO,29/06/2018,0,0,0
2649,CYCLONES,ALAOTRA MANGORO,29/06/2018,480,0,0
2636,CYCLONES,ANALAMANGA,16/03/2017,1787,0,0
2761,FLOOD,BOENY,02/02/2016,7593,0,0
2760,FLOOD,BETSIBOKA,02/02/2016,1165,0,0
2759,FLOOD,ALAOTRA MANGORO,02/02/2016,0,0,0
2635,ACCIDENT,ANALAMANGA,16/03/2017,11826,0,0
2634,CYCLONES,ANALAMANGA,16/03/2017,0,0,0
2633,CYCLONES,ANALAMANGA,15/03/2017,19858,0,0
2626,CYCLONES,VATOVAVY FITOVINANY,16/03/2017,8811,0,0
