Serial,Event,&quot;Province&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
9123,FLOOD,ZAMBEZIA,24/11/2022,0,0,0
45669,EPIDEMIC,ZAMBEZIA,2009/0/0,0,6393,0
45768,EPIDEMIC,ZAMBEZIA,2007/0/0,0,1927,0
45769,EPIDEMIC,ZAMBEZIA,2007/0/0,0,564,0
45673,EPIDEMIC,ZAMBEZIA,2006/0/0,0,56446,0
101054,FLOOD,MAPUTO,2001/0/0,0,0,0
45671,EPIDEMIC,ZAMBEZIA,2005/0/0,0,50409,0
45672,EPIDEMIC,ZAMBEZIA,2005/0/0,0,6371,0
45674,EPIDEMIC,ZAMBEZIA,2007/0/0,0,73641,0
45825,DROUGHT,ZAMBEZIA,08/04/2004,0,0,0
81833,DROUGHT,INHAMBANE,1995/0/0,0,25000,0
101070,FLOOD,INHAMBANE,2000/1/0,1783,8915,0
81828,PLAGUE,INHAMBANE,1991/0/0,0,0,0
81872,PLAGUE,INHAMBANE,1998/0/0,0,0,0
101067,ALLUVION,INHAMBANE,1999/1/0,525,3710,0
81576,FLASH FLOOD,INHAMBANE,1996/0/0,0,0,0
81532,DROUGHT,INHAMBANE,1997/4/0,0,0,0
81537,FLASH FLOOD,INHAMBANE,1999/1/0,1136,2202,0
74596,CONFLICT MAN WILD FAUNA ,SOFALA,2004/0/0,0,125,0
27910,EPIDEMIC,CABO DELGADO,2005/0/0,0,11573,0
28035,EPIDEMIC,CABO DELGADO,2005/0/0,0,1331,0
28036,EPIDEMIC,CABO DELGADO,2005/0/0,0,450,0
27912,EPIDEMIC,CABO DELGADO,2005/0/0,0,1331,0
27876,EPIDEMIC,CABO DELGADO,2005/0/0,804,0,0
27875,EPIDEMIC,CABO DELGADO,2005/0/0,2134,0,0
28004,EPIDEMIC,CABO DELGADO,2005/1/0,0,2372,0
93872,DROUGHT,GAZA,2005/0/0,0,3802,0
100276,DROUGHT,GAZA,2005/0/0,0,5447,0
93870,DROUGHT,GAZA,2005/0/0,0,4555,0
81519,CONFLICT MAN WILD FAUNA ,INHAMBANE,2005/11/0,0,0,0
81671,CONFLICT MAN WILD FAUNA ,INHAMBANE,2005/0/0,0,0,0
62240,EPIDEMIC,MANICA,2005/0/0,0,47254,0
62223,EPIDEMIC,MANICA,2005/0/0,0,44330,0
35970,EPIDEMIC,NAMPULA,2005/0/0,0,34373,0
35971,EPIDEMIC,NAMPULA,2005/0/0,0,2569,0
36866,EPIDEMIC,NAMPULA,2005/0/0,0,32890,0
100660,FLOOD,GAZA,1999/1/0,15000,6415,0
100657,FLOOD,GAZA,1999/1/0,4910,982,0
100658,FLOOD,GAZA,1999/1/0,15970,3194,0
111483,FLOOD,MAPUTO,26/02/1998,0,2103,0
53231,FLASH FLOOD,CABO DELGADO,25/02/1997,0,3975,0
28252,FLASH FLOOD,CABO DELGADO,1998/1/0,0,410,0
111132,EPIDEMIC,MAPUTO,2003/2/0,0,196,0
111296,FOREST FIRE,MAPUTO,2004/0/0,0,0,0
28269,FLOOD,CABO DELGADO,2000/0/0,0,1000,0
100843,FLOOD,CABO DELGADO,24/07/2000,0,2400,0
28044,EPIDEMIC,CABO DELGADO,2003/0/0,0,72,0
28257,FLOOD,CABO DELGADO,2000/0/0,0,750,0
28258,DROUGHT,CABO DELGADO,2000/0/0,0,600,0
28254,DROUGHT,CABO DELGADO,2000/0/0,0,2500,0
45417,EPIDEMIC,ZAMBEZIA,2001/0/0,0,79386,0
28335,FLASH FLOOD,CABO DELGADO,2006/0/0,0,6555,0
27826,DROUGHT,CABO DELGADO,2006/10/0,0,230,0
27848,EPIDEMIC,CABO DELGADO,2006/0/0,0,2900,0
27829,CONFLICT MAN WILD FAUNA ,CABO DELGADO,2006/10/0,0,7376,0
27948,PLAGUE,CABO DELGADO,13/01/2006,0,0,0
27911,EPIDEMIC,CABO DELGADO,28/03/2006,0,11757,0
28038,EPIDEMIC,CABO DELGADO,23/02/2006,0,464,0
27913,EPIDEMIC,CABO DELGADO,2006/0/0,0,1243,0
27936,CONFLICT MAN WILD FAUNA ,CABO DELGADO,27/03/2006,0,525,0
27921,CONFLICT MAN WILD FAUNA ,CABO DELGADO,25/05/2006,0,0,0
27938,FLASH FLOOD,CABO DELGADO,02/03/2006,0,210,0
17237,EPIDEMIC,NIASSA,2009/9/0,0,30,0
27939,EPIDEMIC,CABO DELGADO,23/02/2006,0,54,0
28329,FLASH FLOOD,CABO DELGADO,2006/0/0,0,2605,0
27991,EPIDEMIC,CABO DELGADO,2006/0/0,0,3353,0
27994,EPIDEMIC,CABO DELGADO,2006/0/0,0,503,0
27998,CONFLICT MAN WILD FAUNA ,CABO DELGADO,2006/0/0,0,0,0
28124,FLOOD,CABO DELGADO,2007/0/0,0,5570,0
36235,CONFLICT MAN WILD FAUNA ,CABO DELGADO,24/12/2007,0,500,0
27847,EPIDEMIC,CABO DELGADO,2007/0/0,0,4126,0
28118,FLOOD,CABO DELGADO,2007/0/0,0,22760,0
36236,CONFLICT MAN WILD FAUNA ,CABO DELGADO,24/12/2007,0,0,0
17494,EPIDEMIC,CABO DELGADO,2007/0/0,0,123,0
28321,FOREST FIRE,CABO DELGADO,2007/0/0,0,0,0
17492,EPIDEMIC,CABO DELGADO,2007/2/0,0,1012,0
28024,EPIDEMIC,CABO DELGADO,2007/0/0,0,703,0
27992,EPIDEMIC,CABO DELGADO,2007/0/0,0,3369,0
27882,EPIDEMIC,CABO DELGADO,2007/0/0,1331,0,0
27881,EPIDEMIC,CABO DELGADO,2007/0/0,3298,0,0
28312,CONFLICT MAN WILD FAUNA ,CABO DELGADO,2007/0/0,0,280,0
28213,PLAGUE,CABO DELGADO,2008/0/0,0,0,0
28230,CONFLICT MAN WILD FAUNA ,CABO DELGADO,2008/0/0,0,0,0
