Country,Year,Inflation
Afghanistan,2004,63.52339481
Afghanistan,2005,71.58214338
Afghanistan,2006,76.43870301
Afghanistan,2007,83.07401873
Afghanistan,2008,105.0210647
Afghanistan,2009,97.86791084
Afghanistan,2010,100
Afghanistan,2011,111.8041858
Afghanistan,2012,119.0057313
Afghanistan,2013,127.7952231
Afghanistan,2014,133.7683667
Afghanistan,2015,132.8832092
Afghanistan,2016,138.7086655
Afghanistan,2017,145.6107414
Afghanistan,2018,146.5224819
Afghanistan,2019,149.8959752
Algeria,2002,74.4560791
Algeria,2003,77.63457483
Algeria,2004,80.71030165
Algeria,2005,81.82607845
Algeria,2006,83.71748758
Algeria,2007,86.79745039
Algeria,2008,91.01458318
Algeria,2009,96.23614476
Algeria,2010,100
Algeria,2011,104.5242115
Algeria,2012,113.8179305
Algeria,2013,117.5218381
Algeria,2014,120.9498642
Algeria,2015,126.7366464
Algeria,2016,134.8448702
Algeria,2017,142.3842032
Algeria,2018,148.4639947
Algeria,2019,151.3616678
Angola,2002,41.3826104
Angola,2003,82.03032508
Angola,2004,117.7480568
Angola,2005,144.7753733
Angola,2006,164.038041
Angola,2007,184.1351574
Angola,2008,207.1075451
Angola,2009,235.543999
Angola,2010,93.04835781
Angola,2011,105.5935728
Angola,2012,116.4463798
Angola,2013,126.6678268
Angola,2014,135.8897352
Angola,2015,106.6303739
Angola,2016,141.1548728
Angola,2017,185.889232
Angola,2018,223.4209628
Angola,2019,261.7272017
Azerbaijan,2002,51.01412779
Azerbaijan,2003,52.1537145
Azerbaijan,2004,55.65267092
Azerbaijan,2005,61.03957527
Azerbaijan,2006,66.12351561
Azerbaijan,2007,77.14052499
Azerbaijan,2008,93.21452213
Azerbaijan,2009,94.5783997
Azerbaijan,2010,100
Azerbaijan,2011,107.8523838
Azerbaijan,2012,109.0043583
Azerbaijan,2013,111.6410319
Azerbaijan,2014,113.1925368
Azerbaijan,2015,117.7309217
Azerbaijan,2016,132.3878275
Azerbaijan,2017,149.5187913
Azerbaijan,2018,152.9031744
Azerbaijan,2019,156.8914084
Bangladesh,2002,56.82381156
Bangladesh,2003,60.04498736
Bangladesh,2004,64.60092262
Bangladesh,2005,69.15310297
Bangladesh,2006,73.83149099
Bangladesh,2007,80.55531378
Bangladesh,2008,87.72630342
Bangladesh,2009,92.48411524
Bangladesh,2010,100
Bangladesh,2011,111.3951652
Bangladesh,2012,118.3211643
Bangladesh,2013,127.2312288
Bangladesh,2014,136.1267769
Bangladesh,2015,144.5588509
Bangladesh,2016,152.5291403
Bangladesh,2017,161.2264589
Bangladesh,2018,170.1642434
Bangladesh,2019,179.6798217
Bosnia and Herzegovina,2005,85.04970121
Bosnia and Herzegovina,2006,90.25947692
Bosnia and Herzegovina,2007,91.61407048
Bosnia and Herzegovina,2008,98.41828699
Bosnia and Herzegovina,2009,98.04285638
Bosnia and Herzegovina,2010,100
Bosnia and Herzegovina,2011,103.67125
Bosnia and Herzegovina,2012,105.7992833
Bosnia and Herzegovina,2013,105.7008417
Bosnia and Herzegovina,2014,104.7525
Bosnia and Herzegovina,2015,103.66724
Bosnia and Herzegovina,2016,102.0250472
Bosnia and Herzegovina,2017,102.8515861
Bosnia and Herzegovina,2018,104.3091043
Bosnia and Herzegovina,2019,104.8961374
Bulgaria,2002,63.73049345
Bulgaria,2003,65.22729439
Bulgaria,2004,69.23690145
Bulgaria,2005,72.7256368
Bulgaria,2006,78.00667774
Bulgaria,2007,84.5612155
Bulgaria,2008,95.0034429
Bulgaria,2009,97.61907981
Bulgaria,2010,100
Bulgaria,2011,104.2199035
Bulgaria,2012,107.2991517
Bulgaria,2013,108.2542145
Bulgaria,2014,106.7189708
Bulgaria,2015,106.6073072
Bulgaria,2016,105.7557823
Bulgaria,2017,107.9389572
Bulgaria,2018,110.9740586
Bulgaria,2019,114.4183932
Costa Rica,2002,45.3724605
Costa Rica,2003,49.659365
Costa Rica,2004,55.77482383
Costa Rica,2005,63.47051984
Costa Rica,2006,70.75106534
Costa Rica,2007,77.37139846
Costa Rica,2008,87.7582992
Costa Rica,2009,94.64078444
Costa Rica,2010,100
Costa Rica,2011,104.8781455
Costa Rica,2012,109.5928148
Costa Rica,2013,115.3258794
Costa Rica,2014,120.5378951
Costa Rica,2015,121.5045447
Costa Rica,2016,121.4832185
Costa Rica,2017,123.4581803
