Country,Year,Population
Afghanistan,2002,22600770
Afghanistan,2003,23680871
Afghanistan,2004,24726684
Afghanistan,2005,25654277
Afghanistan,2006,26433049
Afghanistan,2007,27100536
Afghanistan,2008,27722276
Afghanistan,2009,28394813
Afghanistan,2010,29185507
Afghanistan,2011,30117413
Afghanistan,2012,31161376
Afghanistan,2013,32269589
Afghanistan,2014,33370794
Afghanistan,2015,34413603
Afghanistan,2016,35383128
Afghanistan,2017,36296400
Afghanistan,2018,37172386
Afghanistan,2019,38041754
Algeria,2002,31855109
Algeria,2003,32264157
Algeria,2004,32692163
Algeria,2005,33149724
Algeria,2006,33641002
Algeria,2007,34166972
Algeria,2008,34730608
Algeria,2009,35333881
Algeria,2010,35977455
Algeria,2011,36661444
Algeria,2012,37383887
Algeria,2013,38140132
Algeria,2014,38923687
Algeria,2015,39728025
Algeria,2016,40551404
Algeria,2017,41389198
Algeria,2018,42228429
Algeria,2019,43053054
Angola,2002,17519417
Angola,2003,18121479
Angola,2004,18758145
Angola,2005,19433602
Angola,2006,20149901
Angola,2007,20905363
Angola,2008,21695634
Angola,2009,22514281
Angola,2010,23356246
Angola,2011,24220661
Angola,2012,25107931
Angola,2013,26015780
Angola,2014,26941779
Angola,2015,27884381
Angola,2016,28842484
Angola,2017,29816748
Angola,2018,30809762
Angola,2019,31825295
Azerbaijan,2002,8171950
Azerbaijan,2003,8234100
Azerbaijan,2004,8306500
Azerbaijan,2005,8391850
Azerbaijan,2006,8484550
Azerbaijan,2007,8581300
Azerbaijan,2008,8763400
Azerbaijan,2009,8947243
Azerbaijan,2010,9054332
Azerbaijan,2011,9173082
Azerbaijan,2012,9295784
Azerbaijan,2013,9416801
Azerbaijan,2014,9535079
Azerbaijan,2015,9649341
Azerbaijan,2016,9757812
Azerbaijan,2017,9854033
Azerbaijan,2018,9939771
Azerbaijan,2019,10023318
Bangladesh,2002,132478086
Bangladesh,2003,134791603
Bangladesh,2004,136986432
Bangladesh,2005,139035505
Bangladesh,2006,140921167
Bangladesh,2007,142660376
Bangladesh,2008,144304167
Bangladesh,2009,145924797
Bangladesh,2010,147575430
Bangladesh,2011,149273778
Bangladesh,2012,151007807
Bangladesh,2013,152764676
Bangladesh,2014,154520167
Bangladesh,2015,156256276
Bangladesh,2016,157970840
Bangladesh,2017,159670593
Bangladesh,2018,161356039
Bangladesh,2019,163046161
Bosnia and Herzegovina,2002,3759387
Bosnia and Herzegovina,2003,3762173
Bosnia and Herzegovina,2004,3764194
Bosnia and Herzegovina,2005,3765331
Bosnia and Herzegovina,2006,3765424
Bosnia and Herzegovina,2007,3762786
Bosnia and Herzegovina,2008,3754271
Bosnia and Herzegovina,2009,3735938
Bosnia and Herzegovina,2010,3705472
Bosnia and Herzegovina,2011,3661175
Bosnia and Herzegovina,2012,3604972
Bosnia and Herzegovina,2013,3542605
Bosnia and Herzegovina,2014,3482104
Bosnia and Herzegovina,2015,3429361
Bosnia and Herzegovina,2016,3386267
Bosnia and Herzegovina,2017,3351527
Bosnia and Herzegovina,2018,3323929
Bosnia and Herzegovina,2019,3301000
Bulgaria,2002,7837161
Bulgaria,2003,7775327
Bulgaria,2004,7716860
Bulgaria,2005,7658972
Bulgaria,2006,7601022
Bulgaria,2007,7545338
Bulgaria,2008,7492561
Bulgaria,2009,7444443
Bulgaria,2010,7395599
Bulgaria,2011,7348328
Bulgaria,2012,7305888
Bulgaria,2013,7265115
Bulgaria,2014,7223938
Bulgaria,2015,7177991
Bulgaria,2016,7127822
Bulgaria,2017,7075947
Bulgaria,2018,7025037
Bulgaria,2019,6975761
Costa Rica,2002,4100925
Costa Rica,2003,4164053
Costa Rica,2004,4225155
Costa Rica,2005,4285502
Costa Rica,2006,4345412
Costa Rica,2007,4404628
Costa Rica,2008,4463125
Costa Rica,2009,4520740
Costa Rica,2010,4577378
Costa Rica,2011,4633086
Costa Rica,2012,4688000
Costa Rica,2013,4742107
Costa Rica,2014,4795396
Costa Rica,2015,4847804
Costa Rica,2016,4899345
Costa Rica,2017,4949954
Costa Rica,2018,4999441
Costa Rica,2019,5047561
Djibouti,2002,746942
Djibouti,2003,759641
Djibouti,2004,771603
Djibouti,2005,783254
Djibouti,2006,794563
Djibouti,2007,805451
Djibouti,2008,816358
Djibouti,2009,827823
Djibouti,2010,840198
Djibouti,2011,853674
Djibouti,2012,868136
Djibouti,2013,883293
Djibouti,2014,898696
Djibouti,2015,913993
Djibouti,2016,929112
Djibouti,2017,944097
Djibouti,2018,958920
Djibouti,2019,973560
Dominican Republic,2002,8724975
Dominican Republic,2003,8850317
Dominican Republic,2004,8974444
Dominican Republic,2005,9097257
Dominican Republic,2006,9218686
Dominican Republic,2007,9338861
Dominican Republic,2008,9458075
Dominican Republic,2009,9576737
Dominican Republic,2010,9695121
Dominican Republic,2011,9813210
Dominican Republic,2012,9930911
Dominican Republic,2013,10048224
Dominican Republic,2014,10165178
Dominican Republic,2015,10281680
Dominican Republic,2016,10397743
Dominican Republic,2017,10513131
Dominican Republic,2018,10627165
Dominican Republic,2019,10738958
El Salvador,2002,5962136
El Salvador,2003,5994077
El Salvador,2004,6023797
El Salvador,2005,6052123
El Salvador,2006,6079399
El Salvador,2007,6105810
El Salvador,2008,6131764
El Salvador,2009,6157686
El Salvador,2010,6183875
El Salvador,2011,6210568
El Salvador,2012,6237923
El Salvador,2013,6266070
El Salvador,2014,6295128
El Salvador,2015,6325124
