,,2019 data,2022 data,,
Country,Year,Inflation,Inflation,Difference,Comments
Afghanistan,2004,63.52339481,63.52339481,0.00%,
Afghanistan,2005,71.58214338,71.58214338,0.00%,
Afghanistan,2006,76.43870301,76.43870301,0.00%,
Afghanistan,2007,83.07401873,83.07401873,0.00%,
Afghanistan,2008,105.0210647,105.0210647,0.00%,
Afghanistan,2009,97.86791084,97.86791084,0.00%,
Afghanistan,2010,100,100,0.00%,
Afghanistan,2011,111.8041858,111.8041858,0.00%,
Afghanistan,2012,119.0057313,119.0057313,0.00%,
Afghanistan,2013,127.7952231,127.7952231,0.00%,
Afghanistan,2014,133.7683667,133.7683667,0.00%,
Afghanistan,2015,132.8832092,132.8832092,0.00%,
Afghanistan,2016,138.7086655,138.7086655,0.00%,
Afghanistan,2017,145.6107414,145.6107414,0.00%,
Afghanistan,2018,146.5224819,146.5224819,0.00%,
Afghanistan,2019,149.8959752,149.8959752,0.00%,
Afghanistan,2020,,0,#DIV/0!,
Afghanistan,2021,,0,#DIV/0!,
Afghanistan,2022,,0,#DIV/0!,
Algeria,2002,74.4560791,74.4560791,0.00%,
Algeria,2003,77.63457483,77.63457483,0.00%,
Algeria,2004,80.71030165,80.71030165,0.00%,
Algeria,2005,81.82607845,81.82607845,0.00%,
Algeria,2006,83.71748758,83.71748758,0.00%,
Algeria,2007,86.79745039,86.79745039,0.00%,
Algeria,2008,91.01458318,91.01458318,0.00%,
Algeria,2009,96.23614476,96.23614476,0.00%,
Algeria,2010,100,100,0.00%,
Algeria,2011,104.5242115,104.5242115,0.00%,
Algeria,2012,113.8179305,113.8179305,0.00%,
Algeria,2013,117.5218381,117.5218381,0.00%,
Algeria,2014,120.9498642,120.9498642,0.00%,
Algeria,2015,126.7366464,126.7366464,0.00%,
Algeria,2016,134.8448702,134.8448702,0.00%,
Algeria,2017,142.3842032,142.3842032,0.00%,
Algeria,2018,148.4639947,148.4639947,0.00%,
Algeria,2019,151.3616678,151.3616678,0.00%,
Algeria,2020,,155.0172502,#DIV/0!,
Algeria,2021,,166.2188945,#DIV/0!,
Algeria,2022,,181.619932,#DIV/0!,
Angola,2002,41.3826104,15.34812963,-62.91%,
Angola,2003,82.03032508,30.42369853,-62.91%,
Angola,2004,117.7480568,43.67081782,-62.91%,
Angola,2005,144.7753733,53.69480503,-62.91%,
Angola,2006,164.038041,60.8390117,-62.91%,
Angola,2007,184.1351574,68.29270166,-62.91%,
Angola,2008,207.1075451,76.81278243,-62.91%,
Angola,2009,235.543999,87.35939555,-62.91%,
Angola,2010,93.04835781,100,7.47%,Why is the 2010 index in 2019 data not 100?
Angola,2011,105.5935728,113.4824679,7.47%,
Angola,2012,116.4463798,125.1460881,7.47%,
Angola,2013,126.6678268,136.1311793,7.47%,
Angola,2014,135.8897352,146.0420564,7.47%,
Angola,2015,106.6303739,159.7025963,49.77%,
Angola,2016,141.1548728,208.729629,47.87%,
Angola,2017,185.889232,271.0199309,45.80%,
Angola,2018,223.4209628,324.2227542,45.12%,
Angola,2019,261.7272017,379.5990422,45.04%,
Angola,2020,,464.141687,#DIV/0!,
Angola,2021,,583.67797,#DIV/0!,
Angola,2022,,0,#DIV/0!,
Azerbaijan,2002,51.01412779,50.99805388,-0.03%,
Azerbaijan,2003,52.1537145,52.13728152,-0.03%,
Azerbaijan,2004,55.65267092,55.63513546,-0.03%,
Azerbaijan,2005,61.03957527,61.02034247,-0.03%,
Azerbaijan,2006,66.12351561,66.10268093,-0.03%,
Azerbaijan,2007,77.14052499,77.14166667,0.00%,
Azerbaijan,2008,93.21452213,93.225,0.01%,
Azerbaijan,2009,94.5783997,94.58333333,0.01%,
Azerbaijan,2010,100,100,0.00%,
Azerbaijan,2011,107.8523838,107.8583333,0.01%,
Azerbaijan,2012,109.0043583,109.0083333,0.00%,
Azerbaijan,2013,111.6410319,111.6416667,0.00%,
Azerbaijan,2014,113.1925368,113.175,-0.02%,
