,,2019,2023,
Country,Year,Population,Population,Difference
Afghanistan,2002,22600770,21000256,-7.08%
Afghanistan,2003,23680871,22645130,-4.37%
Afghanistan,2004,24726684,23553551,-4.74%
Afghanistan,2005,25654277,24411191,-4.85%
Afghanistan,2006,26433049,25442944,-3.75%
Afghanistan,2007,27100536,25903301,-4.42%
Afghanistan,2008,27722276,26427199,-4.67%
Afghanistan,2009,28394813,27385307,-3.56%
Afghanistan,2010,29185507,28189672,-3.41%
Afghanistan,2011,30117413,29249157,-2.88%
Afghanistan,2012,31161376,30466479,-2.23%
Afghanistan,2013,32269589,31541209,-2.26%
Afghanistan,2014,33370794,32716210,-1.96%
Afghanistan,2015,34413603,33753499,-1.92%
Afghanistan,2016,35383128,34636207,-2.11%
Afghanistan,2017,36296400,35643418,-1.80%
Afghanistan,2018,37172386,36686784,-1.31%
Afghanistan,2019,38041754,37769499,-0.72%
Afghanistan,2020,,38972230,#DIV/0!
Afghanistan,2021,,40099462,#DIV/0!
Afghanistan,2022,,0,#DIV/0!
Algeria,2002,31855109,31624696,-0.72%
Algeria,2003,32264157,32055883,-0.65%
Algeria,2004,32692163,32510186,-0.56%
Algeria,2005,33149724,32956690,-0.58%
Algeria,2006,33641002,33435080,-0.61%
Algeria,2007,34166972,33983827,-0.54%
Algeria,2008,34730608,34569592,-0.46%
Algeria,2009,35333881,35196037,-0.39%
Algeria,2010,35977455,35856344,-0.34%
Algeria,2011,36661444,36543541,-0.32%
Algeria,2012,37383887,37260563,-0.33%
Algeria,2013,38140132,38000626,-0.37%
Algeria,2014,38923687,38760168,-0.42%
Algeria,2015,39728025,39543154,-0.47%
Algeria,2016,40551404,40339329,-0.52%
Algeria,2017,41389198,41136546,-0.61%
Algeria,2018,42228429,41927007,-0.71%
Algeria,2019,43053054,42705368,-0.81%
Algeria,2020,,43451666,#DIV/0!
Algeria,2021,,44177969,#DIV/0!
Algeria,2022,,0,#DIV/0!
Angola,2002,17519417,17516139,-0.02%
Angola,2003,18121479,18124342,0.02%
Angola,2004,18758145,18771125,0.07%
Angola,2005,19433602,19450959,0.09%
Angola,2006,20149901,20162340,0.06%
Angola,2007,20905363,20909684,0.02%
Angola,2008,21695634,21691522,-0.02%
Angola,2009,22514281,22507674,-0.03%
Angola,2010,23356246,23364185,0.03%
Angola,2011,24220661,24259111,0.16%
Angola,2012,25107931,25188292,0.32%
Angola,2013,26015780,26147002,0.50%
Angola,2014,26941779,27128337,0.69%
Angola,2015,27884381,28127721,0.87%
Angola,2016,28842484,29154746,1.08%
Angola,2017,29816748,30208628,1.31%
Angola,2018,30809762,31273533,1.51%
Angola,2019,31825295,32353588,1.66%
Angola,2020,,33428486,#DIV/0!
Angola,2021,,34503774,#DIV/0!
Angola,2022,,0,#DIV/0!
Azerbaijan,2002,8171950,8171950,0.00%
Azerbaijan,2003,8234100,8234100,0.00%
Azerbaijan,2004,8306500,8306500,0.00%
Azerbaijan,2005,8391850,8391850,0.00%
Azerbaijan,2006,8484550,8484550,0.00%
Azerbaijan,2007,8581300,8581300,0.00%
Azerbaijan,2008,8763400,8763400,0.00%
Azerbaijan,2009,8947243,8947243,0.00%
Azerbaijan,2010,9054332,9054332,0.00%
Azerbaijan,2011,9173082,9173082,0.00%
Azerbaijan,2012,9295784,9295784,0.00%
Azerbaijan,2013,9416801,9416801,0.00%
Azerbaijan,2014,9535079,9535079,0.00%
Azerbaijan,2015,9649341,9649341,0.00%
Azerbaijan,2016,9757812,9757812,0.00%
Azerbaijan,2017,9854033,9854033,0.00%
Azerbaijan,2018,9939771,9939771,0.00%
Azerbaijan,2019,10023318,10024283,0.01%
Azerbaijan,2020,,10093121,#DIV/0!
Azerbaijan,2021,,10137750,#DIV/0!
Azerbaijan,2022,,0,#DIV/0!
Bangladesh,2002,132478086,134139826,1.25%
Bangladesh,2003,134791603,136503206,1.27%
Bangladesh,2004,136986432,138789725,1.32%
Bangladesh,2005,139035505,140912590,1.35%
Bangladesh,2006,140921167,142628831,1.21%
Bangladesh,2007,142660376,144135934,1.03%
Bangladesh,2008,144304167,145421318,0.77%
Bangladesh,2009,145924797,146706810,0.54%
Bangladesh,2010,147575430,148391139,0.55%
Bangladesh,2011,149273778,150211005,0.63%
Bangladesh,2012,151007807,152090649,0.72%
Bangladesh,2013,152764676,154030139,0.83%
Bangladesh,2014,154520167,155961299,0.93%
Bangladesh,2015,156256276,157830000,1.01%
Bangladesh,2016,157970840,159784568,1.15%
Bangladesh,2017,159670593,161793964,1.33%
Bangladesh,2018,161356039,163683958,1.44%
Bangladesh,2019,163046161,165516222,1.51%
Bangladesh,2020,,167420951,#DIV/0!
Bangladesh,2021,,169356251,#DIV/0!
Bangladesh,2022,,0,#DIV/0!
Bosnia and Herzegovina,2002,3759387,4198410,11.68%
Bosnia and Herzegovina,2003,3762173,4183757,11.21%
Bosnia and Herzegovina,2004,3764194,4142860,10.06%
Bosnia and Herzegovina,2005,3765331,4094297,8.74%
Bosnia and Herzegovina,2006,3765424,4058086,7.77%
Bosnia and Herzegovina,2007,3762786,4007876,6.51%
Bosnia and Herzegovina,2008,3754271,3943392,5.04%
Bosnia and Herzegovina,2009,3735938,3877750,3.80%
Bosnia and Herzegovina,2010,3705472,3811088,2.85%
Bosnia and Herzegovina,2011,3661175,3743142,2.24%
Bosnia and Herzegovina,2012,3604972,3674374,1.93%
Bosnia and Herzegovina,2013,3542605,3617559,2.12%
Bosnia and Herzegovina,2014,3482104,3571068,2.55%
Bosnia and Herzegovina,2015,3429361,3524324,2.77%
Bosnia and Herzegovina,2016,3386267,3480986,2.80%
Bosnia and Herzegovina,2017,3351527,3440027,2.64%
Bosnia and Herzegovina,2018,3323929,3400129,2.29%
Bosnia and Herzegovina,2019,3301000,3360711,1.81%
Bosnia and Herzegovina,2020,,3318407,#DIV/0!
Bosnia and Herzegovina,2021,,3270943,#DIV/0!
Bosnia and Herzegovina,2022,,0,#DIV/0!
Bulgaria,2002,7837161,7837161,0.00%
Bulgaria,2003,7775327,7775327,0.00%
Bulgaria,2004,7716860,7716860,0.00%
Bulgaria,2005,7658972,7658972,0.00%
Bulgaria,2006,7601022,7601022,0.00%
Bulgaria,2007,7545338,7545338,0.00%
Bulgaria,2008,7492561,7492561,0.00%
Bulgaria,2009,7444443,7444443,0.00%
Bulgaria,2010,7395599,7395599,0.00%
Bulgaria,2011,7348328,7348328,0.00%
Bulgaria,2012,7305888,7305888,0.00%
Bulgaria,2013,7265115,7265115,0.00%
Bulgaria,2014,7223938,7223938,0.00%
Bulgaria,2015,7177991,7177991,0.00%
Bulgaria,2016,7127822,7127822,0.00%
Bulgaria,2017,7075947,7075947,0.00%
Bulgaria,2018,7025037,7025037,0.00%
Bulgaria,2019,6975761,6975761,0.00%
Bulgaria,2020,,6934015,#DIV/0!
Bulgaria,2021,,6877743,#DIV/0!
Bulgaria,2022,,0,#DIV/0!
Costa Rica,2002,4100925,4122623,0.53%
Costa Rica,2003,4164053,4188610,0.59%
Costa Rica,2004,4225155,4252800,0.65%
Costa Rica,2005,4285502,4315887,0.71%
Costa Rica,2006,4345412,4378172,0.75%
Costa Rica,2007,4404628,4440019,0.80%
Costa Rica,2008,4463125,4501921,0.87%
Costa Rica,2009,4520740,4563127,0.94%
Costa Rica,2010,4577378,4622252,0.98%
Costa Rica,2011,4633086,4679926,1.01%
Costa Rica,2012,4688000,4736593,1.04%
Costa Rica,2013,4742107,4791535,1.04%
Costa Rica,2014,4795396,4844288,1.02%
Costa Rica,2015,4847804,4895242,0.98%
Costa Rica,2016,4899345,4945205,0.94%
Costa Rica,2017,4949954,4993842,0.89%
Costa Rica,2018,4999441,5040734,0.83%
Costa Rica,2019,5047561,5084532,0.73%
Costa Rica,2020,,5123105,#DIV/0!
Costa Rica,2021,,5153957,#DIV/0!
Costa Rica,2022,,0,#DIV/0!
Djibouti,2002,746942,789129,5.65%
Djibouti,2003,759641,806411,6.16%
Djibouti,2004,771603,818373,6.06%
Djibouti,2005,783254,830861,6.08%
Djibouti,2006,794563,846947,6.59%
Djibouti,2007,805451,865196,7.42%
Djibouti,2008,816358,882886,8.15%
Djibouti,2009,827823,901103,8.85%
Djibouti,2010,840198,919199,9.40%
Djibouti,2011,853674,936811,9.74%
Djibouti,2012,868136,954297,9.92%
Djibouti,2013,883293,971753,10.01%
Djibouti,2014,898696,989087,10.06%
Djibouti,2015,913993,1006259,10.09%
Djibouti,2016,929112,1023261,10.13%
Djibouti,2017,944097,1040233,10.18%
Djibouti,2018,958920,1057198,10.25%
Djibouti,2019,973560,1073994,10.32%
Djibouti,2020,,1090156,#DIV/0!
Djibouti,2021,,1105557,#DIV/0!
Djibouti,2022,,0,#DIV/0!
Dominican Republic,2002,8724975,8795101,0.80%
Dominican Republic,2003,8850317,8919852,0.79%
Dominican Republic,2004,8974444,9043127,0.77%
Dominican Republic,2005,9097257,9164768,0.74%
Dominican Republic,2006,9218686,9284168,0.71%
Dominican Republic,2007,9338861,9402206,0.68%
Dominican Republic,2008,9458075,9522948,0.69%
Dominican Republic,2009,9576737,9648061,0.74%
Dominican Republic,2010,9695121,9775755,0.83%
Dominican Republic,2011,9813210,9903737,0.92%
Dominican Republic,2012,9930911,10030882,1.01%
Dominican Republic,2013,10048224,10157051,1.08%
Dominican Republic,2014,10165178,10282115,1.15%
Dominican Republic,2015,10281680,10405832,1.21%
Dominican Republic,2016,10397743,10527592,1.25%
Dominican Republic,2017,10513131,10647244,1.28%
Dominican Republic,2018,10627165,10765531,1.30%
Dominican Republic,2019,10738958,10881882,1.33%
Dominican Republic,2020,,10999664,#DIV/0!
Dominican Republic,2021,,11117873,#DIV/0!
Dominican Republic,2022,,0,#DIV/0!
El Salvador,2002,5962136,6011275,0.82%
El Salvador,2003,5994077,6026849,0.55%
El Salvador,2004,6023797,6035655,0.20%
El Salvador,2005,6052123,6037817,-0.24%
El Salvador,2006,6079399,6034436,-0.74%
El Salvador,2007,6105810,6044131,-1.01%
El Salvador,2008,6131764,6068099,-1.04%
El Salvador,2009,6157686,6091188,-1.08%
El Salvador,2010,6183875,6114034,-1.13%
El Salvador,2011,6210568,6137349,-1.18%
El Salvador,2012,6237923,6161289,-1.23%
El Salvador,2013,6266070,6185642,-1.28%
El Salvador,2014,6295128,6209526,-1.36%
El Salvador,2015,6325124,6231066,-1.49%
